id,gene,description
cg01245656,ASNS,asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]
cg02175308,SORT1,sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]
cg02815516,KANK2,KN motif and ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:29300]
cg04051458,THBS1,thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]
cg04375036,PPP1CC,protein phosphatase 1 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9283]
cg05365670,LPCAT1,lysophosphatidylcholine acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25718]
cg05564266,C6orf204,NA
cg06284244,YES1,YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]
cg06797533,PLIN2,perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]
cg07308943,TRMT61B,tRNA methyltransferase 61B [Source:HGNC Symbol;Acc:HGNC:26070]
cg09079593,TRIM7,tripartite motif containing 7 [Source:HGNC Symbol;Acc:HGNC:16278]
cg09429111,PTPDC1,protein tyrosine phosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30184]
cg12291552,GOLIM4,golgi integral membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:15448]
cg13218906,PCMTD2,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15882]
cg14609458,PRRG4,proline rich and Gla domain 4 [Source:HGNC Symbol;Acc:HGNC:30799]
cg15032239,CYFIP1,cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]
cg15760943,ETV5,ETS variant 5 [Source:HGNC Symbol;Acc:HGNC:3494]
cg19339848,MTO1,mitochondrial tRNA translation optimization 1 [Source:HGNC Symbol;Acc:HGNC:19261]
cg19884658,KLHL21,kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]
cg20937139,PDGFC,platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]
cg21091679,ELL2,elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]
cg24968336,KCNK6,potassium two pore domain channel subfamily K member 6 [Source:HGNC Symbol;Acc:HGNC:6281]
