id,gene,description
cg00033304,SENP2,SUMO1/sentrin/SMT3 specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:23116]
cg00089071,PCGF2,polycomb group ring finger 2 [Source:HGNC Symbol;Acc:HGNC:12929]
cg00090648,C1orf55,NA
cg00097619,MST1R,macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]
cg00099427,CCDC19,NA
cg00131958,CAMLG,calcium modulating ligand [Source:HGNC Symbol;Acc:HGNC:1471]
cg00161345,NAE1,NEDD8 activating enzyme E1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:621]
cg00164898,MAPK11,mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]
cg00185839,LRDD,NA
cg00213160,ZNF37A,zinc finger protein 37A [Source:HGNC Symbol;Acc:HGNC:13102]
cg00252813,GAPDH,glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]
cg00288824,ATP10A,ATPase phospholipid transporting 10A (putative) [Source:HGNC Symbol;Acc:HGNC:13542]
cg00346446,MRPL24,mitochondrial ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:14037]
cg00347757,GJB2,gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]
cg00428492,GTPBP8,GTP binding protein 8 (putative) [Source:HGNC Symbol;Acc:HGNC:25007]
cg00487155,LOC100129637,NA
cg00620824,HLA-C,major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]
cg00621084,TMEM194B,NA
cg00819788,C17orf61,NA
cg00876127,BBS2,Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:HGNC:967]
cg00917031,MEGF9,multiple EGF like domains 9 [Source:HGNC Symbol;Acc:HGNC:3234]
cg00993400,ZNF692,zinc finger protein 692 [Source:HGNC Symbol;Acc:HGNC:26049]
cg01049775,ATF4,activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]
cg01071279,SUPV3L1,Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]
cg01073178,TESC,tescalcin [Source:HGNC Symbol;Acc:HGNC:26065]
cg01092213,UPP1,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]
cg01116966,TCF7,transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]
cg01148741,DUSP2,dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]
cg01184139,TRIM41,tripartite motif containing 41 [Source:HGNC Symbol;Acc:HGNC:19013]
cg01184520,ZNRF1,zinc and ring finger 1 [Source:HGNC Symbol;Acc:HGNC:18452]
cg01186919,ALG9,ALG9, alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:15672]
cg01261503,POLG2,DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]
cg01441593,P4HB,prolyl 4-hydroxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8548]
cg01475538,RRAS2,RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]
cg01529538,RBM23,RNA binding motif protein 23 [Source:HGNC Symbol;Acc:HGNC:20155]
cg01591470,CTAGE5,CTAGE family member 5, ER export factor [Source:HGNC Symbol;Acc:HGNC:7057]
cg01610915,THOC5,THO complex 5 [Source:HGNC Symbol;Acc:HGNC:19074]
cg01662334,HIBADH,3-hydroxyisobutyrate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4907]
cg01815128,C13orf33,NA
cg01894352,BTBD9,BTB domain containing 9 [Source:HGNC Symbol;Acc:HGNC:21228]
cg01946442,ZRANB2,zinc finger RANBP2-type containing 2 [Source:HGNC Symbol;Acc:HGNC:13058]
cg01974375,PI4KB,phosphatidylinositol 4-kinase beta [Source:HGNC Symbol;Acc:HGNC:8984]
cg01997529,C19orf22,NA
cg02024846,CDC14B,cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]
cg02050181,NRD1,NA
cg02105326,HES6,hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]
cg02159586,KIAA1841,KIAA1841 [Source:HGNC Symbol;Acc:HGNC:29387]
cg02271943,COMTD1,catechol-O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26309]
cg02305242,FLRT2,fibronectin leucine rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3761]
cg02339298,C21orf59,chromosome 21 open reading frame 59 [Source:HGNC Symbol;Acc:HGNC:1301]
cg02454890,ZNF710,zinc finger protein 710 [Source:HGNC Symbol;Acc:HGNC:25352]
cg02462195,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]
cg02627216,IGFBP4,insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]
cg02652597,VAMP5,vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646]
cg02709052,TMEM135,transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]
cg02735446,VASH1,vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]
cg02741811,FIGNL1,fidgetin like 1 [Source:HGNC Symbol;Acc:HGNC:13286]
cg02774856,HOMER3,homer scaffolding protein 3 [Source:HGNC Symbol;Acc:HGNC:17514]
cg02802029,PLOD2,procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]
cg02863476,RBBP8,RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]
cg02914379,MDFI,MyoD family inhibitor [Source:HGNC Symbol;Acc:HGNC:6967]
cg02941852,SRPK2,SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]
cg02945056,GCC1,GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]
cg03113683,TMEM50B,transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]
cg03211233,SIRT1,sirtuin 1 [Source:HGNC Symbol;Acc:HGNC:14929]
