id,gene,description
cg00011122,C16orf75,NA
cg00023464,CARKD,NA
cg00026974,UBTF,upstream binding transcription factor, RNA polymerase I [Source:HGNC Symbol;Acc:HGNC:12511]
cg00069261,CDR2,cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]
cg00089464,LOC285830,NA
cg00128188,IDI1,isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]
cg00137016,ZNF836,zinc finger protein 836 [Source:HGNC Symbol;Acc:HGNC:34333]
cg00143868,BTBD12,NA
cg00145489,IMPA2,inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]
cg00200063,USP32,ubiquitin specific peptidase 32 [Source:HGNC Symbol;Acc:HGNC:19143]
cg00238249,C6orf57,NA
cg00239870,CH25H,cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]
cg00246451,ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]
cg00280991,TMEM194A,NA
cg00295572,TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]
cg00315056,DUSP4,dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]
cg00320027,PABPC1,poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]
cg00323305,THRB,thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]
cg00331237,CSRP2,cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]
cg00356818,MTRF1L,mitochondrial translational release factor 1 like [Source:HGNC Symbol;Acc:HGNC:21051]
cg00422248,CHERP,calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]
cg00428944,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]
cg00456582,SAMD5,sterile alpha motif domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21180]
cg00475645,STAU2,staufen double-stranded RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11371]
cg00484396,NAT15,NA
cg00504134,P2RY1,purinergic receptor P2Y1 [Source:HGNC Symbol;Acc:HGNC:8539]
cg00508499,PDXP,pyridoxal phosphatase [Source:HGNC Symbol;Acc:HGNC:30259]
cg00526711,UNC45A,unc-45 myosin chaperone A [Source:HGNC Symbol;Acc:HGNC:30594]
cg00540891,RET,ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]
