id,gene,description
cg00002660,SMARCC2,SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol;Acc:HGNC:11105]
cg00039326,TRAPPC3,trafficking protein particle complex 3 [Source:HGNC Symbol;Acc:HGNC:19942]
cg00039463,CREBBP,CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]
cg00041328,C17orf85,NA
cg00076645,UBTD2,ubiquitin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24463]
cg00082664,SFRP2,secreted frizzled related protein 2 [Source:HGNC Symbol;Acc:HGNC:10777]
cg00093643,CASC4,cancer susceptibility 4 [Source:HGNC Symbol;Acc:HGNC:24892]
cg00101118,RNF11,ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]
cg00115288,EPS8L2,EPS8 like 2 [Source:HGNC Symbol;Acc:HGNC:21296]
cg00117965,FAM195A,NA
cg00131121,POLR2J,RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]
cg00149492,TFAP2E,transcription factor AP-2 epsilon [Source:HGNC Symbol;Acc:HGNC:30774]
cg00152411,INTS2,integrator complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:29241]
cg00170188,FAM171A2,family with sequence similarity 171 member A2 [Source:HGNC Symbol;Acc:HGNC:30480]
cg00210002,EHMT2,euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]
cg00231644,TUBB2A,tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]
cg00251610,EBF1,early B cell factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]
cg00259249,GJB3,gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]
cg00267122,EFHD1,EF-hand domain family member D1 [Source:HGNC Symbol;Acc:HGNC:29556]
cg00276377,FBXL3,F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]
cg00276826,NSUN6,NOP2/Sun RNA methyltransferase family member 6 [Source:HGNC Symbol;Acc:HGNC:23529]
cg00290028,RFXAP,regulatory factor X associated protein [Source:HGNC Symbol;Acc:HGNC:9988]
cg00291877,SNRPA1,small nuclear ribonucleoprotein polypeptide A' [Source:HGNC Symbol;Acc:HGNC:11152]
cg00312919,STARD3NL,STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]
cg00313795,LOC646762,NA
cg00329154,EBF3,early B cell factor 3 [Source:HGNC Symbol;Acc:HGNC:19087]
cg00330888,EPAS1,endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]
cg00335633,C19orf48,chromosome 19 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29667]
cg00345366,SAAL1,serum amyloid A like 1 [Source:HGNC Symbol;Acc:HGNC:25158]
cg00350296,CD248,CD248 molecule [Source:HGNC Symbol;Acc:HGNC:18219]
cg00355089,TLCD1,TLC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25177]
cg00386702,ZNF780B,zinc finger protein 780B [Source:HGNC Symbol;Acc:HGNC:33109]
cg00396230,EPHB2,EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]
cg00399591,RPS15A,ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389]
cg00399938,ZDHHC8,zinc finger DHHC-type containing 8 [Source:HGNC Symbol;Acc:HGNC:18474]
cg00442658,CXADR,CXADR, Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]
cg00447682,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:24190]
cg00451635,EMP2,epithelial membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3334]
cg00454305,UNKL,unkempt family like zinc finger [Source:HGNC Symbol;Acc:HGNC:14184]
cg00454409,ATP6V1C2,ATPase H+ transporting V1 subunit C2 [Source:HGNC Symbol;Acc:HGNC:18264]
cg00460049,SGIP1,SH3 domain GRB2 like endophilin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25412]
cg00461978,MAN2C1,mannosidase alpha class 2C member 1 [Source:HGNC Symbol;Acc:HGNC:6827]
cg00466301,PMEPA1,prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]
cg00466544,C14orf101,NA
cg00470183,TSPYL4,TSPY like 4 [Source:HGNC Symbol;Acc:HGNC:21559]
cg00470794,CHFR,checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]
cg00478851,PPFIBP2,PPFIA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9250]
cg00480896,DTX4,deltex E3 ubiquitin ligase 4 [Source:HGNC Symbol;Acc:HGNC:29151]
cg00500936,CAMKK2,calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:1470]
cg00505936,HAS3,hyaluronan synthase 3 [Source:HGNC Symbol;Acc:HGNC:4820]
cg00510956,KHDRBS1,KH RNA binding domain containing, signal transduction associated 1 [Source:HGNC Symbol;Acc:HGNC:18116]
cg00513208,UPF2,UPF2, regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:17854]
cg00516067,COL9A3,collagen type IX alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2219]
cg00516222,CORO6,coronin 6 [Source:HGNC Symbol;Acc:HGNC:21356]
cg00524967,RFC3,replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]
cg00528640,SEMA4C,semaphorin 4C [Source:HGNC Symbol;Acc:HGNC:10731]
cg00536383,ASAP2,ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]
cg00540449,MPHOSPH6,M-phase phosphoprotein 6 [Source:HGNC Symbol;Acc:HGNC:7214]
cg00545804,TSHZ3,teashirt zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:30700]
cg00547777,ICA1L,islet cell autoantigen 1 like [Source:HGNC Symbol;Acc:HGNC:14442]
cg00566516,TSPAN33,tetraspanin 33 [Source:HGNC Symbol;Acc:HGNC:28743]
cg00574819,LARP1B,La ribonucleoprotein domain family member 1B [Source:HGNC Symbol;Acc:HGNC:24704]
cg00584008,AMPD2,adenosine monophosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:469]
cg00601387,WDR36,WD repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:30696]
cg00620452,GPD1L,glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]
cg00624212,NBEAL2,neurobeachin like 2 [Source:HGNC Symbol;Acc:HGNC:31928]
cg00628130,CCNE2,cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]
cg00643111,TGFB1I1,transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]
cg00668034,STX12,syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430]
cg00673251,ECHDC3,enoyl-CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23489]
cg00686598,PSMC6,proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]
cg00689580,TFAP2A,transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]
cg00692549,TARDBP,TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]
cg00697642,PHYHIP,phytanoyl-CoA 2-hydroxylase interacting protein [Source:HGNC Symbol;Acc:HGNC:16865]
cg00708844,C14orf135,NA
cg00787661,NCL,nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]
cg00814733,CCND2,cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]
cg00825173,IFT88,intraflagellar transport 88 [Source:HGNC Symbol;Acc:HGNC:20606]
cg00840516,HYAL2,hyaluronoglucosaminidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]
cg00858400,SLC7A5,solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]
cg00859465,ARAP2,ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]
cg00877964,SLC1A4,solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]
cg00901401,FKBP1B,FK506 binding protein 1B [Source:HGNC Symbol;Acc:HGNC:3712]
cg00901652,CTR9,CTR9 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:16850]
cg00908631,CDKN2C,cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]
cg00910127,AARS2,alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]
cg00919013,LONRF1,LON peptidase N-terminal domain and ring finger 1 [Source:HGNC Symbol;Acc:HGNC:26302]
cg00930455,DLX5,distal-less homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2918]
cg00939391,FGFRL1,fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]
cg00945507,SEC61G,Sec61 translocon gamma subunit [Source:HGNC Symbol;Acc:HGNC:18277]
cg00967901,HTR7,5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]
cg00969047,NXPH4,neurexophilin 4 [Source:HGNC Symbol;Acc:HGNC:8078]
cg01046673,NF2,neurofibromin 2 [Source:HGNC Symbol;Acc:HGNC:7773]
