id,gene,description
cg00005306,SRCAP,Snf2 related CREBBP activator protein [Source:HGNC Symbol;Acc:HGNC:16974]
cg00015121,THTPA,thiamine triphosphatase [Source:HGNC Symbol;Acc:HGNC:18987]
cg00032852,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]
cg00040446,MYCL1,NA
cg00056624,CTDSPL,CTD small phosphatase like [Source:HGNC Symbol;Acc:HGNC:16890]
cg00073771,OAT,ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]
cg00079785,KIAA0146,NA
cg00082497,MARCKSL1,MARCKS like 1 [Source:HGNC Symbol;Acc:HGNC:7142]
cg00119073,LPP,LIM domain containing preferred translocation partner in lipoma [Source:HGNC Symbol;Acc:HGNC:6679]
cg00134843,PGS1,phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]
cg00152799,TXNL1,thioredoxin like 1 [Source:HGNC Symbol;Acc:HGNC:12436]
cg00160619,B3GALNT1,beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]
cg00225765,STK32B,serine/threonine kinase 32B [Source:HGNC Symbol;Acc:HGNC:14217]
cg00253564,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol;Acc:HGNC:29105]
cg00255919,IRF1,interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]
cg00291003,CHCHD1,coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]
cg00326131,RTKN,rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]
cg00328227,C1orf59,NA
cg00344358,GDF11,growth differentiation factor 11 [Source:HGNC Symbol;Acc:HGNC:4216]
cg00374224,OTX1,orthodenticle homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8521]
cg00394830,PAN2,PAN2 poly(A) specific ribonuclease subunit [Source:HGNC Symbol;Acc:HGNC:20074]
cg00405086,MED23,mediator complex subunit 23 [Source:HGNC Symbol;Acc:HGNC:2372]
cg00420929,PGPEP1,pyroglutamyl-peptidase I [Source:HGNC Symbol;Acc:HGNC:13568]
cg00460684,MSI2,musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]
cg00502442,ZDHHC14,zinc finger DHHC-type containing 14 [Source:HGNC Symbol;Acc:HGNC:20341]
cg00504034,COMMD6,COMM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24015]
cg00505318,UBA3,ubiquitin like modifier activating enzyme 3 [Source:HGNC Symbol;Acc:HGNC:12470]
cg00533364,ZNF331,zinc finger protein 331 [Source:HGNC Symbol;Acc:HGNC:15489]
cg00556514,PLCD1,phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]
cg00573124,C9orf69,NA
cg00646492,GSTO1,glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]
cg00659991,C15orf41,chromosome 15 open reading frame 41 [Source:HGNC Symbol;Acc:HGNC:26929]
cg00666446,ZNF670,zinc finger protein 670 [Source:HGNC Symbol;Acc:HGNC:28167]
cg00685193,SPATA7,spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423]
cg00685795,COASY,Coenzyme A synthase [Source:HGNC Symbol;Acc:HGNC:29932]
cg00686761,CEP192,centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]
cg00698124,SETBP1,SET binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15573]
cg00741700,TCHP,trichoplein keratin filament binding [Source:HGNC Symbol;Acc:HGNC:28135]
cg00762662,OTUD1,OTU deubiquitinase 1 [Source:HGNC Symbol;Acc:HGNC:27346]
cg00784718,DUSP10,dual specificity phosphatase 10 [Source:HGNC Symbol;Acc:HGNC:3065]
cg00785193,CRIM1,cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]
cg00805381,C6orf62,chromosome 6 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:20998]
cg00809164,MT1L,metallothionein 1L, pseudogene [Source:HGNC Symbol;Acc:HGNC:7404]
cg00830735,PPP1R3C,protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]
cg00831633,ALG10,ALG10, alpha-1,2-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23162]
cg00841001,CDC25A,cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]
cg00841968,ACTN1,actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]
cg00841985,ANKRD28,ankyrin repeat domain 28 [Source:HGNC Symbol;Acc:HGNC:29024]
cg00848245,XPO6,exportin 6 [Source:HGNC Symbol;Acc:HGNC:19733]
cg00917893,PDHB,pyruvate dehydrogenase E1 beta subunit [Source:HGNC Symbol;Acc:HGNC:8808]
cg00955482,ENOSF1,enolase superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:30365]
cg00955682,PAIP2,poly(A) binding protein interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17970]
cg00959308,DIDO1,death inducer-obliterator 1 [Source:HGNC Symbol;Acc:HGNC:2680]
cg00967238,HECTD1,HECT domain E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20157]
cg00980776,ANAPC1,anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]
cg01023593,ZNF324B,zinc finger protein 324B [Source:HGNC Symbol;Acc:HGNC:33107]
cg01044692,FAM119A,NA
cg01060409,RAN,RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]
cg01068808,GLT25D2,NA
cg01070095,SETD1A,SET domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29010]
cg01075763,TGIF1,TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]
cg01079658,ZNF655,zinc finger protein 655 [Source:HGNC Symbol;Acc:HGNC:30899]
cg01089331,LCORL,ligand dependent nuclear receptor corepressor like [Source:HGNC Symbol;Acc:HGNC:30776]
cg01132484,TBL1XR1,transducin beta like 1 X-linked receptor 1 [Source:HGNC Symbol;Acc:HGNC:29529]
cg01156557,AMACR,alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451]
cg01156768,CTDP1,CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]
