id,gene,description
cg00010992,TIGD2,tigger transposable element derived 2 [Source:HGNC Symbol;Acc:HGNC:18333]
cg00022024,CAMSAP1,calmodulin regulated spectrin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:19946]
cg00035623,UBE2S,ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]
cg00043371,COG1,component of oligomeric golgi complex 1 [Source:HGNC Symbol;Acc:HGNC:6545]
cg00076538,EGFLAM,EGF like, fibronectin type III and laminin G domains [Source:HGNC Symbol;Acc:HGNC:26810]
cg00130530,FKBP5,FK506 binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3721]
cg00148666,MT1X,metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]
cg00160853,SUZ12,SUZ12 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:17101]
cg00185336,ABHD11,abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407]
cg00214056,SMAD7,SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]
cg00219151,SLC16A9,solute carrier family 16 member 9 [Source:HGNC Symbol;Acc:HGNC:23520]
cg00240767,CCDC101,NA
cg00251250,IRF2BP2,interferon regulatory factor 2 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21729]
cg00259755,PWWP2B,PWWP domain containing 2B [Source:HGNC Symbol;Acc:HGNC:25150]
cg00342953,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]
cg00402172,NFATC3,nuclear factor of activated T cells 3 [Source:HGNC Symbol;Acc:HGNC:7777]
cg00466334,TBX15,T-box 15 [Source:HGNC Symbol;Acc:HGNC:11594]
cg00481884,ACP5,acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]
cg00483345,SCAI,suppressor of cancer cell invasion [Source:HGNC Symbol;Acc:HGNC:26709]
cg00494710,PPM1G,protein phosphatase, Mg2+/Mn2+ dependent 1G [Source:HGNC Symbol;Acc:HGNC:9278]
cg00577147,C3orf31,NA
cg00588090,PUS1,pseudouridylate synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]
cg00705908,ASAH1,N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]
cg00719400,LOC100130093,NA
cg00734960,SDCCAG1,NA
cg00811051,DNAJB14,DnaJ heat shock protein family (Hsp40) member B14 [Source:HGNC Symbol;Acc:HGNC:25881]
cg00852783,UBXN11,UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600]
cg00870662,PARD6G,par-6 family cell polarity regulator gamma [Source:HGNC Symbol;Acc:HGNC:16076]
