id,gene,description
cg00022138,SFRS6,NA
cg00025981,C13orf15,NA
cg00040873,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10 [Source:HGNC Symbol;Acc:HGNC:7696]
cg00086871,TBC1D14,TBC1 domain family member 14 [Source:HGNC Symbol;Acc:HGNC:29246]
cg00092611,WAC,WW domain containing adaptor with coiled-coil [Source:HGNC Symbol;Acc:HGNC:17327]
cg00194681,WDYHV1,WDYHV motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25490]
cg00199549,MCM5,minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]
cg00215214,TMEM55B,NA
cg00221494,FARP1,FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]
cg00229232,MAP2K3,mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]
cg00298153,C21orf33,chromosome 21 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:1273]
cg00355909,CMTM3,CKLF like MARVEL transmembrane domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19174]
cg00356811,TNFAIP8L1,TNF alpha induced protein 8 like 1 [Source:HGNC Symbol;Acc:HGNC:28279]
cg00357213,FAM188A,NA
cg00357532,NCKAP1,NCK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7666]
cg00363845,ANO8,anoctamin 8 [Source:HGNC Symbol;Acc:HGNC:29329]
cg00380150,EIF4ENIF1,eukaryotic translation initiation factor 4E nuclear import factor 1 [Source:HGNC Symbol;Acc:HGNC:16687]
cg00422230,ITGAV,integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]
cg00474194,SOCS6,suppressor of cytokine signaling 6 [Source:HGNC Symbol;Acc:HGNC:16833]
cg00477378,RCBTB1,RCC1 and BTB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:18243]
cg00482398,DLK2,delta like non-canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:21113]
cg00524169,ACTN4,actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]
cg00532474,PSTPIP2,proline-serine-threonine phosphatase interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9581]
cg00533390,HNRNPU,heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]
cg00545681,F3,coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]
cg00559234,CLSTN1,calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]
cg00565070,PDE4A,phosphodiesterase 4A [Source:HGNC Symbol;Acc:HGNC:8780]
