id,gene,description
cg00025436,COQ10A,coenzyme Q10A [Source:HGNC Symbol;Acc:HGNC:26515]
cg00060880,WIBG,NA
cg00135056,C3orf37,NA
cg00173785,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1 [Source:HGNC Symbol;Acc:HGNC:4867]
cg00248310,PCNP,PEST proteolytic signal containing nuclear protein [Source:HGNC Symbol;Acc:HGNC:30023]
cg00258976,ZNF778,zinc finger protein 778 [Source:HGNC Symbol;Acc:HGNC:26479]
cg00270311,CD2BP2,CD2 cytoplasmic tail binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1656]
cg00348858,TUFM,Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]
cg00367438,TMUB1,transmembrane and ubiquitin like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21709]
cg00383081,GLUL,glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]
cg00439709,CD109,CD109 molecule [Source:HGNC Symbol;Acc:HGNC:21685]
cg00453679,PHLDA1,pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]
cg00470766,PRICKLE1,prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]
cg00585901,EFNA4,ephrin A4 [Source:HGNC Symbol;Acc:HGNC:3224]
cg00603512,PDCL3,phosducin like 3 [Source:HGNC Symbol;Acc:HGNC:28860]
cg00609966,CACNA1H,calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395]
cg00626843,RFX7,regulatory factor X7 [Source:HGNC Symbol;Acc:HGNC:25777]
cg00649606,SLC19A2,solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]
cg00715241,CAMTA2,calmodulin binding transcription activator 2 [Source:HGNC Symbol;Acc:HGNC:18807]
cg00768409,BNC1,basonuclin 1 [Source:HGNC Symbol;Acc:HGNC:1081]
cg00888876,ANKRD17,ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]
cg00985729,IER3,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
cg00992153,C8orf58,chromosome 8 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:32233]
cg01015416,PTPN12,protein tyrosine phosphatase, non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]
cg01023769,ARL13B,ADP ribosylation factor like GTPase 13B [Source:HGNC Symbol;Acc:HGNC:25419]
cg01046309,TMC7,transmembrane channel like 7 [Source:HGNC Symbol;Acc:HGNC:23000]
cg01059100,PYCARD,PYD and CARD domain containing [Source:HGNC Symbol;Acc:HGNC:16608]
cg01074347,FAM69A,family with sequence similarity 69 member A [Source:HGNC Symbol;Acc:HGNC:32213]
cg01110797,LOC221710,NA
cg01156550,ASCL2,achaete-scute family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:739]
cg01158220,UBXN4,UBX domain protein 4 [Source:HGNC Symbol;Acc:HGNC:14860]
