id,gene,description
cg00003091,SLBP,stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]
cg00035249,ARF1,ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]
cg00037388,EML6,echinoderm microtubule associated protein like 6 [Source:HGNC Symbol;Acc:HGNC:35412]
cg00063773,PLS1,plastin 1 [Source:HGNC Symbol;Acc:HGNC:9090]
cg00067471,ATP5D,NA
cg00091633,FSTL1,follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]
cg00128877,MKNK1,MAP kinase interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]
cg00186701,TSPYL5,TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]
cg00217442,TNFRSF10D,TNF receptor superfamily member 10d [Source:HGNC Symbol;Acc:HGNC:11907]
cg00235661,SGOL1,NA
cg00292435,CKS2,CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]
cg00296189,CHRAC1,chromatin accessibility complex 1 [Source:HGNC Symbol;Acc:HGNC:13544]
cg00329472,R3HCC1,R3H domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:27329]
cg00331616,MPHOSPH8,M-phase phosphoprotein 8 [Source:HGNC Symbol;Acc:HGNC:29810]
cg00349895,TRIM2,tripartite motif containing 2 [Source:HGNC Symbol;Acc:HGNC:15974]
cg00352043,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]
cg00356511,ACACA,acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]
cg00373467,GTF2H4,general transcription factor IIH subunit 4 [Source:HGNC Symbol;Acc:HGNC:4658]
cg00405699,ST8SIA4,ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]
cg00406338,NPEPL1,aminopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:16244]
cg00411411,FBXW4,F-box and WD repeat domain containing 4 [Source:HGNC Symbol;Acc:HGNC:10847]
