id,gene,description
cg00001854,DNAJA2,DnaJ heat shock protein family (Hsp40) member A2 [Source:HGNC Symbol;Acc:HGNC:14884]
cg00004818,AGA,aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]
cg00103329,ETNK2,ethanolamine kinase 2 [Source:HGNC Symbol;Acc:HGNC:25575]
cg00116463,B9D1,B9 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24123]
cg00151919,SLC25A15,solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985]
cg00156336,FAM176A,NA
cg00171947,C1orf216,chromosome 1 open reading frame 216 [Source:HGNC Symbol;Acc:HGNC:26800]
cg00184203,FAM171B,family with sequence similarity 171 member B [Source:HGNC Symbol;Acc:HGNC:29412]
cg00207428,NOXO1,NADPH oxidase organizer 1 [Source:HGNC Symbol;Acc:HGNC:19404]
cg00229423,ST3GAL6,ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]
cg00240178,EEF1A1,eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]
cg00245032,YIPF4,Yip1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:28145]
cg00252654,ZNF566,zinc finger protein 566 [Source:HGNC Symbol;Acc:HGNC:25919]
cg00254079,TES,testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]
cg00260655,FRAT2,FRAT2, WNT signaling pathway regulator [Source:HGNC Symbol;Acc:HGNC:16048]
cg00273124,NHP2,NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377]
cg00336946,A2LD1,NA
cg00366505,ZC3H18,zinc finger CCCH-type containing 18 [Source:HGNC Symbol;Acc:HGNC:25091]
cg00394040,IL10RA,interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]
cg00423443,CDH13,cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]
cg00429618,ZNF322B,NA
cg00433296,SLC39A14,solute carrier family 39 member 14 [Source:HGNC Symbol;Acc:HGNC:20858]
cg00455178,CYP2R1,cytochrome P450 family 2 subfamily R member 1 [Source:HGNC Symbol;Acc:HGNC:20580]
cg00455327,CABLES1,Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:HGNC:25097]
cg00461735,C1orf31,NA
cg00463562,PIF1,PIF1 5'-to-3' DNA helicase [Source:HGNC Symbol;Acc:HGNC:26220]
cg00510111,HECW2,HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]
cg00533586,C2CD4C,C2 calcium dependent domain containing 4C [Source:HGNC Symbol;Acc:HGNC:29417]
cg00543329,CLSPN,claspin [Source:HGNC Symbol;Acc:HGNC:19715]
cg00544436,HMGA1,high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]
cg00573330,ZNF141,zinc finger protein 141 [Source:HGNC Symbol;Acc:HGNC:12926]
cg00584416,RSBN1,round spermatid basic protein 1 [Source:HGNC Symbol;Acc:HGNC:25642]
cg00599252,NRXN2,neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]
cg00608467,PPARA,peroxisome proliferator activated receptor alpha [Source:HGNC Symbol;Acc:HGNC:9232]
cg00614157,REEP5,receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]
cg00622654,DOCK1,dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987]
cg00662002,PPP1R13B,protein phosphatase 1 regulatory subunit 13B [Source:HGNC Symbol;Acc:HGNC:14950]
cg00683961,SORT1,sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]
cg00733005,SIX1,SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]
cg00743929,RASSF1,Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]
cg00757414,TPST1,tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]
cg00807892,MOBKL1A,NA
cg00836641,PPIL4,peptidylprolyl isomerase like 4 [Source:HGNC Symbol;Acc:HGNC:15702]
cg00855661,WDR19,WD repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:18340]
cg00865537,ZNF846,zinc finger protein 846 [Source:HGNC Symbol;Acc:HGNC:27260]
cg00872628,SMC3,structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]
cg00879206,PRR14,proline rich 14 [Source:HGNC Symbol;Acc:HGNC:28458]
cg00929392,IFFO2,intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:HGNC:27006]
cg00940212,GARS,glycyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:4162]
cg00962304,RPL28,ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:10330]
cg01000831,CDH23,cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]
cg01001468,MAF,MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]
cg01044662,C2orf3,NA
cg01070148,BCL3,B cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]
cg01115569,RBM33,RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]
cg01131866,KIF2A,kinesin family member 2A [Source:HGNC Symbol;Acc:HGNC:6318]
cg01136750,PDSS1,decaprenyl diphosphate synthase subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759]
