gene,coef,description
ACAA2,-0.111039176357802,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
APOBEC3F,0.0989253141219475,apolipoprotein B mRNA editing enzyme catalytic subunit 3F [Source:HGNC Symbol;Acc:HGNC:17356]
CAMTA1,-0.166758074506562,calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]
INTS8,-0.181240678540616,integrator complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:26048]
KIAA1908,0.082544249893468,NA
LOC650368,-0.16425373664721,NA
MFSD7,-0.0895177073898686,NA
PLA2G4A,-0.0500455992392411,phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]
RAB7L1,0.158108993154021,NA
SERPINI1,-0.0888178249055161,serpin family I member 1 [Source:HGNC Symbol;Acc:HGNC:8943]
SGSH,0.156611784283937,N-sulfoglucosamine sulfohydrolase [Source:HGNC Symbol;Acc:HGNC:10818]
SLC16A5,-0.0889165305594638,solute carrier family 16 member 5 [Source:HGNC Symbol;Acc:HGNC:10926]
TH1L,-0.192550351115804,NA
ZNF438,0.189526873787131,zinc finger protein 438 [Source:HGNC Symbol;Acc:HGNC:21029]
