gene,coef,description
ACAA2,-0.0893142916209517,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
ATG2A,0.122842150469166,autophagy related 2A [Source:HGNC Symbol;Acc:HGNC:29028]
CFL2,0.150089711186143,cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]
EHD4,-0.171102457495269,EH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:3245]
GRIN2D,-0.0557321042939104,glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]
HYAL1,-0.0612437083831038,hyaluronoglucosaminidase 1 [Source:HGNC Symbol;Acc:HGNC:5320]
KRT7,-0.0270276166856993,keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]
MAMSTR,-0.0864058025357105,MEF2 activating motif and SAP domain containing transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:26689]
PLK1S1,-0.107842847208161,NA
RAC2,0.147337454973707,Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]
RBM38,-0.120621894156423,RNA binding motif protein 38 [Source:HGNC Symbol;Acc:HGNC:15818]
RCOR2,-0.06160498368809,REST corepressor 2 [Source:HGNC Symbol;Acc:HGNC:27455]
SLC16A5,-0.0843286548363077,solute carrier family 16 member 5 [Source:HGNC Symbol;Acc:HGNC:10926]
SNX16,-0.0959311080213668,sorting nexin 16 [Source:HGNC Symbol;Acc:HGNC:14980]
ZNF467,0.0974571721412762,zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]
ZNF614,-0.0686820045526099,zinc finger protein 614 [Source:HGNC Symbol;Acc:HGNC:24722]
ZNF675,-0.00568216425493146,zinc finger protein 675 [Source:HGNC Symbol;Acc:HGNC:30768]
