gene,coef,description
ACAA2,-0.064624507706583,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
AIF1L,0.0411122921416311,allograft inflammatory factor 1 like [Source:HGNC Symbol;Acc:HGNC:28904]
C2orf34,-0.0969387602471544,NA
CCDC102A,0.0946497242888544,coiled-coil domain containing 102A [Source:HGNC Symbol;Acc:HGNC:28097]
CD2,0.0712473903050192,CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]
EPHX3,-0.0277306746366956,epoxide hydrolase 3 [Source:HGNC Symbol;Acc:HGNC:23760]
GRIN2D,-0.0279374594463132,glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]
LOC650368,-0.0700740053201574,NA
RAC2,0.0781333139255101,Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]
RCOR2,-0.0514910269142537,REST corepressor 2 [Source:HGNC Symbol;Acc:HGNC:27455]
SNAPC3,0.0760289645967119,small nuclear RNA activating complex polypeptide 3 [Source:HGNC Symbol;Acc:HGNC:11136]
TAF3,-0.108386027932145,TATA-box binding protein associated factor 3 [Source:HGNC Symbol;Acc:HGNC:17303]
VILL,-0.0487995877184891,villin like [Source:HGNC Symbol;Acc:HGNC:30906]
