gene,coef,description
C13orf29,-0.0400378400633977,NA
CFL2,0.0857864518669192,cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]
GOLGA7B,0.0286315115454764,golgin A7 family member B [Source:HGNC Symbol;Acc:HGNC:31668]
GSTO2,-0.0295200607936914,glutathione S-transferase omega 2 [Source:HGNC Symbol;Acc:HGNC:23064]
ITGAL,0.0869499125451395,integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]
LIPA,0.0866558350885128,lipase A, lysosomal acid type [Source:HGNC Symbol;Acc:HGNC:6617]
LOC400027,-0.0805707604571464,NA
PRKCE,-0.0815019957949492,protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]
RNF167,0.108439633489337,ring finger protein 167 [Source:HGNC Symbol;Acc:HGNC:24544]
SRCRB4D,-0.0675242470680979,NA
TFAP2E,-0.0297510384812581,transcription factor AP-2 epsilon [Source:HGNC Symbol;Acc:HGNC:30774]
ZNF707,0.071235469058352,zinc finger protein 707 [Source:HGNC Symbol;Acc:HGNC:27815]
