gene,coef,description
ACAA2,-0.0282496716555591,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
AIF1L,0.0674751181403675,allograft inflammatory factor 1 like [Source:HGNC Symbol;Acc:HGNC:28904]
ARTN,-0.0184305142487289,artemin [Source:HGNC Symbol;Acc:HGNC:727]
C16orf48,-0.0443659593896978,NA
C20orf117,-0.0398201118156784,NA
C20orf134,-0.0687193982011436,NA
CDKN3,0.0450789972144138,cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]
CYTH4,0.0687475425286512,cytohesin 4 [Source:HGNC Symbol;Acc:HGNC:9505]
HCG11,-0.0449144383787285,HLA complex group 11 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:17707]
IL16,0.102586574021464,interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]
LIMK1,0.0669813776883445,LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613]
PHYHIP,-0.0268480037692122,phytanoyl-CoA 2-hydroxylase interacting protein [Source:HGNC Symbol;Acc:HGNC:16865]
PLBD1,-0.113403331599029,phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]
PRKCE,-0.0439249188639666,protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]
RNF149,0.0987251698635968,ring finger protein 149 [Source:HGNC Symbol;Acc:HGNC:23137]
SLC6A10P,-0.0217129449268267,solute carrier family 6 member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:11043]
SRCRB4D,-0.108165674281564,NA
TAPBP,0.0933041903883753,TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]
VGLL4,-0.068202734284712,vestigial like family member 4 [Source:HGNC Symbol;Acc:HGNC:28966]
