gene,coef,description
ADM,-0.00417717456841008,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
B3GALNT1,-0.00179244708302534,beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]
C3orf18,-0.0032697922227535,chromosome 3 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:24837]
EFEMP2,-0.00382584317679928,EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]
EFNB3,0.00112962405334578,ephrin B3 [Source:HGNC Symbol;Acc:HGNC:3228]
FAM164C,-0.00711511389949556,NA
GNPDA1,0.00703454233532646,glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]
GPX7,-0.00137993108909574,glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]
KRT18,-0.00191952484294003,keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]
PSAT1,-0.00244648668367396,phosphoserine aminotransferase 1 [Source:HGNC Symbol;Acc:HGNC:19129]
SQLE,-1.35706897165954e-05,squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]
TMEM220,-0.00653833488974061,transmembrane protein 220 [Source:HGNC Symbol;Acc:HGNC:33757]
UBE2V1,-0.013204964564533,ubiquitin conjugating enzyme E2 V1 [Source:HGNC Symbol;Acc:HGNC:12494]
ZNF167,-0.00181600623421154,NA
ZNF518B,-0.00404158739499602,zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365]
ZNF532,-0.00747736463132864,zinc finger protein 532 [Source:HGNC Symbol;Acc:HGNC:30940]
ZSCAN12,-0.00152508569914113,zinc finger and SCAN domain containing 12 [Source:HGNC Symbol;Acc:HGNC:13172]
