id,gene,description
cg00098063,EHMT2,euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]
cg00124905,MMAA,methylmalonic aciduria (cobalamin deficiency) cblA type [Source:HGNC Symbol;Acc:HGNC:18871]
cg00237904,H19,H19, imprinted maternally expressed transcript (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:4713]
cg00620824,HLA-C,major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]
cg00668442,RNPS1,RNA binding protein with serine rich domain 1 [Source:HGNC Symbol;Acc:HGNC:10080]
cg00673251,ECHDC3,enoyl-CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23489]
cg00850683,ZNF222,zinc finger protein 222 [Source:HGNC Symbol;Acc:HGNC:13015]
cg00911318,CLP1,cleavage and polyadenylation factor I subunit 1 [Source:HGNC Symbol;Acc:HGNC:16999]
cg00949622,ZNF564,zinc finger protein 564 [Source:HGNC Symbol;Acc:HGNC:31106]
cg01002995,FOXJ2,forkhead box J2 [Source:HGNC Symbol;Acc:HGNC:24818]
cg01016637,SLC2A13,solute carrier family 2 member 13 [Source:HGNC Symbol;Acc:HGNC:15956]
cg01062029,ROR2,receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257]
cg01097444,PHF1,PHD finger protein 1 [Source:HGNC Symbol;Acc:HGNC:8919]
cg01247628,SEMA6D,semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770]
cg01277890,LOC389333,NA
cg01443538,MAP3K10,mitogen-activated protein kinase kinase kinase 10 [Source:HGNC Symbol;Acc:HGNC:6849]
cg01532230,PCDH7,protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]
cg01565438,SLFN13,schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]
cg01565690,ZNF510,zinc finger protein 510 [Source:HGNC Symbol;Acc:HGNC:29161]
cg01579535,HOXC4,homeobox C4 [Source:HGNC Symbol;Acc:HGNC:5126]
cg01618114,CORO2B,coronin 2B [Source:HGNC Symbol;Acc:HGNC:2256]
cg01727419,SH3PXD2A,SH3 and PX domains 2A [Source:HGNC Symbol;Acc:HGNC:23664]
cg01911352,MICALL1,MICAL like 1 [Source:HGNC Symbol;Acc:HGNC:29804]
cg01940743,NARF,nuclear prelamin A recognition factor [Source:HGNC Symbol;Acc:HGNC:29916]
cg02060627,CDC42,cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]
cg02068676,COBRA1,NA
cg02196227,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]
cg02219125,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087]
cg02254461,CSRNP1,cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]
cg02414175,LIN9,lin-9 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:30830]
cg02497175,NLK,nemo like kinase [Source:HGNC Symbol;Acc:HGNC:29858]
cg02503815,DPY19L2P2,DPY19L2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:21764]
cg02523617,UBE2K,ubiquitin conjugating enzyme E2 K [Source:HGNC Symbol;Acc:HGNC:4914]
cg02779761,ZNF264,zinc finger protein 264 [Source:HGNC Symbol;Acc:HGNC:13057]
cg02930996,B4GALT6,beta-1,4-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:929]
cg03075725,ZNF250,zinc finger protein 250 [Source:HGNC Symbol;Acc:HGNC:13044]
cg03420356,LOC730101,NA
cg03437912,POMP,proteasome maturation protein [Source:HGNC Symbol;Acc:HGNC:20330]
cg03519879,C14orf43,NA
cg03828109,P2RX5,purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]
cg03828224,PPIC,peptidylprolyl isomerase C [Source:HGNC Symbol;Acc:HGNC:9256]
cg04184297,SLC16A3,solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]
cg04260507,RHBDF1,rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]
cg04284530,MARCH3,membrane associated ring-CH-type finger 3 [Source:HGNC Symbol;Acc:HGNC:28728]
cg04312358,NUMBL,NUMB like, endocytic adaptor protein [Source:HGNC Symbol;Acc:HGNC:8061]
cg04469686,HSD17B7,hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]
cg04575144,ZBTB7A,zinc finger and BTB domain containing 7A [Source:HGNC Symbol;Acc:HGNC:18078]
cg04652522,CANX,calnexin [Source:HGNC Symbol;Acc:HGNC:1473]
cg04686545,C12orf23,NA
cg04871582,PPIL5,NA
cg05366166,ZNF521,zinc finger protein 521 [Source:HGNC Symbol;Acc:HGNC:24605]
cg05503527,ZNF813,zinc finger protein 813 [Source:HGNC Symbol;Acc:HGNC:33257]
cg05683445,SBK1,SH3 domain binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:17699]
cg05802532,RSBN1L,round spermatid basic protein 1 like [Source:HGNC Symbol;Acc:HGNC:24765]
cg05815906,RAB33B,RAB33B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16075]
cg05819371,BTG1,BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]
cg05832487,C16orf59,NA
cg06083669,ITPA,inosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:6176]
cg06676621,GAR1,GAR1 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14264]
cg06748584,C17orf70,NA
cg07160163,SYK,spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]
cg07575680,DKFZp761E198,NA
cg07855993,SLC25A42,solute carrier family 25 member 42 [Source:HGNC Symbol;Acc:HGNC:28380]
cg07959104,TUBGCP5,tubulin gamma complex associated protein 5 [Source:HGNC Symbol;Acc:HGNC:18600]
cg08288130,DOK2,docking protein 2 [Source:HGNC Symbol;Acc:HGNC:2991]
cg08301181,UNK,unkempt family zinc finger [Source:HGNC Symbol;Acc:HGNC:29369]
cg08497766,IL15RA,interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]
cg09049376,OLA1,Obg like ATPase 1 [Source:HGNC Symbol;Acc:HGNC:28833]
cg09798879,GOT1,glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]
cg09839738,MAP3K4,mitogen-activated protein kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6856]
cg09881240,CSNK1G2,casein kinase 1 gamma 2 [Source:HGNC Symbol;Acc:HGNC:2455]
cg09965939,NIPAL2,NIPA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25854]
cg10274099,HOMEZ,homeobox and leucine zipper encoding [Source:HGNC Symbol;Acc:HGNC:20164]
cg10546176,DNAJC21,DnaJ heat shock protein family (Hsp40) member C21 [Source:HGNC Symbol;Acc:HGNC:27030]
cg10621377,ZNF140,zinc finger protein 140 [Source:HGNC Symbol;Acc:HGNC:12925]
cg11066673,MLEC,malectin [Source:HGNC Symbol;Acc:HGNC:28973]
cg11398680,PTK2,protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]
cg11598736,SDHAP2,succinate dehydrogenase complex flavoprotein subunit A pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:27408]
cg12909012,PAIP2B,poly(A) binding protein interacting protein 2B [Source:HGNC Symbol;Acc:HGNC:29200]
cg13148085,HELZ,helicase with zinc finger [Source:HGNC Symbol;Acc:HGNC:16878]
cg13393830,ZNF577,zinc finger protein 577 [Source:HGNC Symbol;Acc:HGNC:28673]
cg13416283,HSP90AA1,heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]
cg13428746,MAGEF1,MAGE family member F1 [Source:HGNC Symbol;Acc:HGNC:29639]
cg14202825,DGKH,diacylglycerol kinase eta [Source:HGNC Symbol;Acc:HGNC:2854]
cg14502007,MARCH7,membrane associated ring-CH-type finger 7 [Source:HGNC Symbol;Acc:HGNC:17393]
cg14738643,ZNF614,zinc finger protein 614 [Source:HGNC Symbol;Acc:HGNC:24722]
cg15407162,ZNF193,NA
cg15489541,C11orf31,NA
cg15532149,TMEM5,NA
cg15723195,FAM111A,family with sequence similarity 111 member A [Source:HGNC Symbol;Acc:HGNC:24725]
cg17216600,TRAM2,translocation associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16855]
cg17633033,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]
cg18030038,ARMC8,armadillo repeat containing 8 [Source:HGNC Symbol;Acc:HGNC:24999]
cg18153624,EPHB4,EPH receptor B4 [Source:HGNC Symbol;Acc:HGNC:3395]
cg18245652,ZFP36,ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]
cg19160878,GTF3C3,general transcription factor IIIC subunit 3 [Source:HGNC Symbol;Acc:HGNC:4666]
cg19350357,RBM43,RNA binding motif protein 43 [Source:HGNC Symbol;Acc:HGNC:24790]
cg19974474,GDF11,growth differentiation factor 11 [Source:HGNC Symbol;Acc:HGNC:4216]
cg20080997,ARHGAP11A,Rho GTPase activating protein 11A [Source:HGNC Symbol;Acc:HGNC:15783]
cg21365364,DTD1,D-tyrosyl-tRNA deacylase 1 [Source:HGNC Symbol;Acc:HGNC:16219]
cg21589273,KIAA2018,NA
cg21904978,PDS5A,PDS5 cohesin associated factor A [Source:HGNC Symbol;Acc:HGNC:29088]
cg22378614,CARM1,coactivator associated arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23393]
cg23092250,ASPHD2,aspartate beta-hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30437]
cg23301142,PTOV1,prostate tumor overexpressed 1 [Source:HGNC Symbol;Acc:HGNC:9632]
cg23696886,PDLIM2,PDZ and LIM domain 2 [Source:HGNC Symbol;Acc:HGNC:13992]
cg24220766,BECN1,beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]
