id,gene,description
cg00002660,SMARCC2,SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol;Acc:HGNC:11105]
cg00143527,MESDC1,NA
cg00217461,FAM36A,NA
cg00336071,RPS27L,ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]
cg00406338,NPEPL1,aminopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:16244]
cg00547777,ICA1L,islet cell autoantigen 1 like [Source:HGNC Symbol;Acc:HGNC:14442]
cg00662122,LRP12,LDL receptor related protein 12 [Source:HGNC Symbol;Acc:HGNC:31708]
cg00758584,BMP8B,bone morphogenetic protein 8b [Source:HGNC Symbol;Acc:HGNC:1075]
cg00858899,CCND1,cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]
cg00859465,ARAP2,ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]
cg00866572,FZD9,frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]
cg00868383,ZNF132,zinc finger protein 132 [Source:HGNC Symbol;Acc:HGNC:12916]
cg00945507,SEC61G,Sec61 translocon gamma subunit [Source:HGNC Symbol;Acc:HGNC:18277]
cg00975854,C1orf63,NA
cg00986320,CYFIP2,cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]
cg01085265,RELL1,RELT like 1 [Source:HGNC Symbol;Acc:HGNC:27379]
cg01163066,LPCAT3,lysophosphatidylcholine acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30244]
cg01169738,PKNOX1,PBX/knotted 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9022]
cg01191566,ARL2,ADP ribosylation factor like GTPase 2 [Source:HGNC Symbol;Acc:HGNC:693]
cg01418856,TUBA1C,tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768]
cg01522095,GGA2,golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]
