id,gene,description
cg00004996,MTMR7,myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]
cg00010992,TIGD2,tigger transposable element derived 2 [Source:HGNC Symbol;Acc:HGNC:18333]
cg00011856,IGFBP5,insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]
cg00014806,GADD45B,growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]
cg00025436,COQ10A,coenzyme Q10A [Source:HGNC Symbol;Acc:HGNC:26515]
cg00032686,FGFRL1,fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]
cg00032852,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]
cg00040873,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10 [Source:HGNC Symbol;Acc:HGNC:7696]
cg00055848,B3GNT2,UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]
cg00061413,PANK3,pantothenate kinase 3 [Source:HGNC Symbol;Acc:HGNC:19365]
cg00078194,MDK,midkine [Source:HGNC Symbol;Acc:HGNC:6972]
cg00081574,EPHA4,EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]
cg00086297,BTBD12,NA
cg00098693,HMCN1,hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
cg00101115,SUPT4H1,SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]
cg00101118,RNF11,ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]
cg00101715,FAM55C,NA
cg00117965,FAM195A,NA
cg00121884,C20orf29,NA
cg00145489,IMPA2,inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]
cg00152942,CPNE2,copine 2 [Source:HGNC Symbol;Acc:HGNC:2315]
cg00160619,B3GALNT1,beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]
cg00162940,PPM1D,protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]
cg00166770,C20orf43,NA
cg00170213,RBM16,NA
cg00178429,KLF10,Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]
cg00187414,TBC1D1,TBC1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:11578]
cg00189989,CLDN5,claudin 5 [Source:HGNC Symbol;Acc:HGNC:2047]
cg00209066,BRD1,bromodomain containing 1 [Source:HGNC Symbol;Acc:HGNC:1102]
cg00241281,PACS2,phosphofurin acidic cluster sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:23794]
cg00248310,PCNP,PEST proteolytic signal containing nuclear protein [Source:HGNC Symbol;Acc:HGNC:30023]
cg00251610,EBF1,early B cell factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]
cg00261569,C3orf1,NA
cg00263584,VAPA,VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]
cg00280991,TMEM194A,NA
cg00296158,POU2F1,POU class 2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9212]
cg00307214,GALNTL1,NA
cg00307254,PLXNA1,plexin A1 [Source:HGNC Symbol;Acc:HGNC:9099]
cg00321850,KIAA0040,KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]
cg00326131,RTKN,rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]
cg00330502,CTDSP1,CTD small phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:21614]
cg00331237,CSRP2,cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]
cg00335633,C19orf48,chromosome 19 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29667]
cg00345314,SGK3,serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]
cg00352043,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]
cg00354179,KIAA1614,KIAA1614 [Source:HGNC Symbol;Acc:HGNC:29327]
cg00356213,STOML2,stomatin like 2 [Source:HGNC Symbol;Acc:HGNC:14559]
cg00357888,PPIF,peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]
cg00366505,ZC3H18,zinc finger CCCH-type containing 18 [Source:HGNC Symbol;Acc:HGNC:25091]
