id,gene,description
cg00022633,CDK8,cyclin dependent kinase 8 [Source:HGNC Symbol;Acc:HGNC:1779]
cg00027499,PHKG2,phosphorylase kinase catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:8931]
cg00043371,COG1,component of oligomeric golgi complex 1 [Source:HGNC Symbol;Acc:HGNC:6545]
cg00076538,EGFLAM,EGF like, fibronectin type III and laminin G domains [Source:HGNC Symbol;Acc:HGNC:26810]
cg00082497,MARCKSL1,MARCKS like 1 [Source:HGNC Symbol;Acc:HGNC:7142]
cg00119314,RSAD1,radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25634]
cg00152799,TXNL1,thioredoxin like 1 [Source:HGNC Symbol;Acc:HGNC:12436]
cg00171947,C1orf216,chromosome 1 open reading frame 216 [Source:HGNC Symbol;Acc:HGNC:26800]
cg00208412,GOLGA7B,golgin A7 family member B [Source:HGNC Symbol;Acc:HGNC:31668]
cg00218631,NUCB2,nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044]
cg00240178,EEF1A1,eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]
cg00242976,UBE2C,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]
cg00246451,ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]
cg00251250,IRF2BP2,interferon regulatory factor 2 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21729]
cg00254079,TES,testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]
cg00314771,DCUN1D5,defective in cullin neddylation 1 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28409]
cg00345366,SAAL1,serum amyloid A like 1 [Source:HGNC Symbol;Acc:HGNC:25158]
cg00356723,NAA40,N(alpha)-acetyltransferase 40, NatD catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25845]
cg00374747,CDKN1C,cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]
cg00470794,CHFR,checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]
cg00483459,ALS2CL,ALS2 C-terminal like [Source:HGNC Symbol;Acc:HGNC:20605]
cg00495311,LRRC58,leucine rich repeat containing 58 [Source:HGNC Symbol;Acc:HGNC:26968]
cg00503458,KIAA0907,NA
cg00577147,C3orf31,NA
cg00621084,TMEM194B,NA
cg00646492,GSTO1,glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]
cg00666746,SYDE1,synapse defective Rho GTPase homolog 1 [Source:HGNC Symbol;Acc:HGNC:25824]
cg00723275,XRCC5,X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]
cg00754232,TECPR1,tectonin beta-propeller repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:22214]
cg00771553,VANGL1,VANGL planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:15512]
cg00776080,TENC1,NA
cg00776808,BCAP29,B cell receptor associated protein 29 [Source:HGNC Symbol;Acc:HGNC:24131]
cg00814733,CCND2,cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]
cg00840257,CARHSP1,calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]
cg00865537,ZNF846,zinc finger protein 846 [Source:HGNC Symbol;Acc:HGNC:27260]
cg00969446,ADAP1,ArfGAP with dual PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16486]
cg00991297,ITGB1,integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]
cg01047432,OSBPL9,oxysterol binding protein like 9 [Source:HGNC Symbol;Acc:HGNC:16386]
cg01056350,HHAT,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
cg01064902,SIRT5,sirtuin 5 [Source:HGNC Symbol;Acc:HGNC:14933]
cg01099875,THBD,thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]
cg01105948,FRY,FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]
cg01107185,ZC3HAV1,zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]
cg01159601,D4S234E,NA
cg01184139,TRIM41,tripartite motif containing 41 [Source:HGNC Symbol;Acc:HGNC:19013]
cg01206410,NID1,nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]
cg01271376,LEMD3,LEM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28887]
cg01273344,ZNF69,zinc finger protein 69 [Source:HGNC Symbol;Acc:HGNC:13138]
cg01316047,LRP3,LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]
cg01329511,SMYD5,SMYD family member 5 [Source:HGNC Symbol;Acc:HGNC:16258]
cg01333131,CDC42BPB,CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738]
cg01394116,RBM22,RNA binding motif protein 22 [Source:HGNC Symbol;Acc:HGNC:25503]
cg01434608,CMTM3,CKLF like MARVEL transmembrane domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19174]
cg01481690,DSCR3,NA
cg01596986,NUDT15,nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063]
cg01658265,FAM43A,family with sequence similarity 43 member A [Source:HGNC Symbol;Acc:HGNC:26888]
cg01666244,ANKRD10,ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:HGNC:20265]
cg01682615,ADD1,adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]
cg01687401,FAM110A,family with sequence similarity 110 member A [Source:HGNC Symbol;Acc:HGNC:16188]
cg01730534,CACYBP,calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]
cg01732984,SUCLA2,succinate-CoA ligase ADP-forming beta subunit [Source:HGNC Symbol;Acc:HGNC:11448]
cg01733570,DFNA5,NA
cg01802653,HERC3,HECT and RLD domain containing E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:4876]
cg01820777,MICALL2,MICAL like 2 [Source:HGNC Symbol;Acc:HGNC:29672]
cg01888561,SEC14L1,SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698]
cg01910484,MT2A,metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]
cg01974375,PI4KB,phosphatidylinositol 4-kinase beta [Source:HGNC Symbol;Acc:HGNC:8984]
