id,gene,description
cg00032884,FOXN2,forkhead box N2 [Source:HGNC Symbol;Acc:HGNC:5281]
cg00089071,PCGF2,polycomb group ring finger 2 [Source:HGNC Symbol;Acc:HGNC:12929]
cg00145177,NAT8L,N-acetyltransferase 8 like [Source:HGNC Symbol;Acc:HGNC:26742]
cg00189906,FAM91A1,family with sequence similarity 91 member A1 [Source:HGNC Symbol;Acc:HGNC:26306]
cg00222995,ZBTB9,zinc finger and BTB domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28323]
cg00247471,PPM1H,protein phosphatase, Mg2+/Mn2+ dependent 1H [Source:HGNC Symbol;Acc:HGNC:18583]
cg00276826,NSUN6,NOP2/Sun RNA methyltransferase family member 6 [Source:HGNC Symbol;Acc:HGNC:23529]
cg00291003,CHCHD1,coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]
cg00338002,C1orf38,NA
cg00433081,MAPK9,mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]
cg00558174,ANKH,ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]
cg00566492,JOSD1,Josephin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28953]
cg00599252,NRXN2,neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]
cg00664023,ALG14,ALG14, UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:28287]
cg00687686,NDRG4,NDRG family member 4 [Source:HGNC Symbol;Acc:HGNC:14466]
cg00706444,PFKFB4,6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]
cg00803816,ABCA5,ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]
cg00871453,WDR67,NA
cg00932688,C16orf87,chromosome 16 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33754]
cg01077267,GIN1,gypsy retrotransposon integrase 1 [Source:HGNC Symbol;Acc:HGNC:25959]
cg01309052,C12orf29,chromosome 12 open reading frame 29 [Source:HGNC Symbol;Acc:HGNC:25322]
cg01343206,EHBP1,EH domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29144]
cg01347228,RNF135,ring finger protein 135 [Source:HGNC Symbol;Acc:HGNC:21158]
cg01529538,RBM23,RNA binding motif protein 23 [Source:HGNC Symbol;Acc:HGNC:20155]
cg01653110,VAMP4,vesicle associated membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:12645]
cg01686920,IRX5,iroquois homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14361]
cg01838317,GCH1,GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]
cg01873236,CTNNA1,catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]
cg01892689,PGCP,NA
cg01986123,ARL4A,ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]
cg02040583,DUT,deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]
cg02068689,IER5L,immediate early response 5 like [Source:HGNC Symbol;Acc:HGNC:23679]
cg02085838,TRIO,trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]
cg02120774,IGFBP3,insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]
cg02121704,CHEK1,checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]
cg02204148,POLR3D,RNA polymerase III subunit D [Source:HGNC Symbol;Acc:HGNC:1080]
cg02215357,HNRNPA1L2,heterogeneous nuclear ribonucleoprotein A1-like 2 [Source:HGNC Symbol;Acc:HGNC:27067]
cg02275292,CCM2,CCM2 scaffolding protein [Source:HGNC Symbol;Acc:HGNC:21708]
cg02365862,DSP,desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]
cg02446434,MARCKS,myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]
