id,gene,description
cg00041328,C17orf85,NA
cg00136105,GNPTAB,N-acetylglucosamine-1-phosphate transferase alpha and beta subunits [Source:HGNC Symbol;Acc:HGNC:29670]
cg00157456,DHODH,dihydroorotate dehydrogenase (quinone) [Source:HGNC Symbol;Acc:HGNC:2867]
cg00177496,BDH1,3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]
cg00184203,FAM171B,family with sequence similarity 171 member B [Source:HGNC Symbol;Acc:HGNC:29412]
cg00202403,ETV4,ETS variant 4 [Source:HGNC Symbol;Acc:HGNC:3493]
cg00236225,LASS5,NA
cg00240569,KIF18B,kinesin family member 18B [Source:HGNC Symbol;Acc:HGNC:27102]
cg00276377,FBXL3,F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]
cg00306721,BSCL2,BSCL2, seipin lipid droplet biogenesis associated [Source:HGNC Symbol;Acc:HGNC:15832]
cg00390775,PRUNE2,prune homolog 2 [Source:HGNC Symbol;Acc:HGNC:25209]
cg00420929,PGPEP1,pyroglutamyl-peptidase I [Source:HGNC Symbol;Acc:HGNC:13568]
cg00428944,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]
cg00439709,CD109,CD109 molecule [Source:HGNC Symbol;Acc:HGNC:21685]
cg00480896,DTX4,deltex E3 ubiquitin ligase 4 [Source:HGNC Symbol;Acc:HGNC:29151]
cg00519002,MT1E,metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397]
cg00557469,PPP2CA,protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]
cg00615145,ARHGEF11,Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]
cg00643111,TGFB1I1,transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]
cg00685193,SPATA7,spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423]
cg00811051,DNAJB14,DnaJ heat shock protein family (Hsp40) member B14 [Source:HGNC Symbol;Acc:HGNC:25881]
cg00853068,FMNL1,formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212]
cg00854006,C19orf28,NA
cg00858400,SLC7A5,solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]
cg00872628,SMC3,structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]
cg00955482,ENOSF1,enolase superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:30365]
cg00997424,PI4K2A,phosphatidylinositol 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:30031]
cg01027411,ZNF296,zinc finger protein 296 [Source:HGNC Symbol;Acc:HGNC:15981]
cg01041367,TMEM70,transmembrane protein 70 [Source:HGNC Symbol;Acc:HGNC:26050]
cg01096266,ZNF518B,zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365]
cg01102311,COX7A1,cytochrome c oxidase subunit 7A1 [Source:HGNC Symbol;Acc:HGNC:2287]
cg01169772,C5orf51,chromosome 5 open reading frame 51 [Source:HGNC Symbol;Acc:HGNC:27750]
cg01209635,TBXA2R,thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]
cg01240094,C21orf63,NA
cg01258201,CPNE5,copine 5 [Source:HGNC Symbol;Acc:HGNC:2318]
cg01263716,PHLDA2,pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]
cg01323954,FAM103A1,family with sequence similarity 103 member A1 [Source:HGNC Symbol;Acc:HGNC:31022]
cg01327474,XPO6,exportin 6 [Source:HGNC Symbol;Acc:HGNC:19733]
cg01467419,ZNF57,zinc finger protein 57 [Source:HGNC Symbol;Acc:HGNC:13125]
cg01493517,IFFO1,intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]
cg01582182,RELA,RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]
cg01620308,PRNP,prion protein [Source:HGNC Symbol;Acc:HGNC:9449]
cg01630869,CDC42EP2,CDC42 effector protein 2 [Source:HGNC Symbol;Acc:HGNC:16263]
cg01726902,SIAH1,siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]
cg01803717,ENO1,enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]
cg01821126,PDXDC2,NA
cg01821557,TRAIP,TRAF interacting protein [Source:HGNC Symbol;Acc:HGNC:30764]
cg01825058,SMARCD3,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]
cg01950958,NUDT17,nudix hydrolase 17 [Source:HGNC Symbol;Acc:HGNC:26618]
cg01983548,HJURP,Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]
cg02072114,GFOD2,glucose-fructose oxidoreductase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28159]
cg02077702,ISLR,immunoglobulin superfamily containing leucine rich repeat [Source:HGNC Symbol;Acc:HGNC:6133]
cg02099053,RBM15,RNA binding motif protein 15 [Source:HGNC Symbol;Acc:HGNC:14959]
cg02122376,G3BP1,G3BP stress granule assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30292]
cg02190746,ASB13,ankyrin repeat and SOCS box containing 13 [Source:HGNC Symbol;Acc:HGNC:19765]
cg02190873,PDIA4,protein disulfide isomerase family A member 4 [Source:HGNC Symbol;Acc:HGNC:30167]
cg02202169,FOXO1,forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]
cg02203656,GPNMB,glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]
cg02249390,LTB,lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]
cg02393810,VPS26A,VPS26, retromer complex component A [Source:HGNC Symbol;Acc:HGNC:12711]
cg02485479,ZNF451,zinc finger protein 451 [Source:HGNC Symbol;Acc:HGNC:21091]
cg02515725,PDLIM3,PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]
cg02555074,TRNP1,TMF1-regulated nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:34348]
cg02562109,TMEM170B,transmembrane protein 170B [Source:HGNC Symbol;Acc:HGNC:34244]
cg02631917,FGFBP3,fibroblast growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23428]
cg02679503,MTA3,metastasis associated 1 family member 3 [Source:HGNC Symbol;Acc:HGNC:23784]
cg02727605,MEMO1,mediator of cell motility 1 [Source:HGNC Symbol;Acc:HGNC:14014]
cg02831419,KCNE4,potassium voltage-gated channel subfamily E regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:6244]
cg02959637,RASGRP2,RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]
cg03018058,RHBDD1,rhomboid domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23081]
cg03026306,CABYR,calcium binding tyrosine phosphorylation regulated [Source:HGNC Symbol;Acc:HGNC:15569]
cg03105756,C16orf5,NA
cg03106958,BAHCC1,BAH domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29279]
cg03120717,C11orf61,NA
cg03140118,ZC3H12A,zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]
cg03172801,MYL12A,myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]
cg03215868,TESK1,testis-specific kinase 1 [Source:HGNC Symbol;Acc:HGNC:11731]
cg03223580,BBS10,Bardet-Biedl syndrome 10 [Source:HGNC Symbol;Acc:HGNC:26291]
cg03316098,GABBR1,gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]
cg03326689,MYO5C,myosin VC [Source:HGNC Symbol;Acc:HGNC:7604]
cg03350042,BAHD1,bromo adjacent homology domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29153]
cg03419278,SMAGP,small cell adhesion glycoprotein [Source:HGNC Symbol;Acc:HGNC:26918]
cg03436530,GLCCI1,glucocorticoid induced 1 [Source:HGNC Symbol;Acc:HGNC:18713]
cg03483464,CPOX,coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:2321]
cg03483632,FJX1,four jointed box 1 [Source:HGNC Symbol;Acc:HGNC:17166]
cg03497399,SUSD5,sushi domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29061]
cg03506033,MAP6,microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]
cg03658244,MAPRE2,microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]
cg03668495,SPRYD3,SPRY domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25920]
cg03705396,MAP6D1,MAP6 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25753]
cg03719283,GUCY1A3,NA
cg03730969,METAP1,methionyl aminopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:15789]
cg03845383,CDC5L,cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]
cg03944089,SGK1,serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]
cg03988279,EIF2C3,NA
cg04051335,C5orf62,NA
cg04092033,C21orf59,chromosome 21 open reading frame 59 [Source:HGNC Symbol;Acc:HGNC:1301]
cg04106785,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]
cg04136290,FOXK2,forkhead box K2 [Source:HGNC Symbol;Acc:HGNC:6036]
cg04140974,RNF144B,ring finger protein 144B [Source:HGNC Symbol;Acc:HGNC:21578]
cg04160663,S1PR2,sphingosine-1-phosphate receptor 2 [Source:HGNC Symbol;Acc:HGNC:3169]
cg04237662,SIDT2,SID1 transmembrane family member 2 [Source:HGNC Symbol;Acc:HGNC:24272]
cg04249754,LCK,LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]
cg04264299,SCARA3,scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]
cg04315434,CTSB,cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]
cg04375683,PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]
cg04478795,SMO,smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]
cg04504284,SFMBT1,Scm like with four mbt domains 1 [Source:HGNC Symbol;Acc:HGNC:20255]
cg04568339,DPH5,diphthamide biosynthesis 5 [Source:HGNC Symbol;Acc:HGNC:24270]
cg04617914,FOXP4,forkhead box P4 [Source:HGNC Symbol;Acc:HGNC:20842]
cg04724720,EFEMP2,EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]
cg04767753,PSMG4,proteasome assembly chaperone 4 [Source:HGNC Symbol;Acc:HGNC:21108]
cg04873169,GRAMD4,GRAM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:29113]
cg05150327,STARD5,StAR related lipid transfer domain containing 5 [Source:HGNC Symbol;Acc:HGNC:18065]
cg05207465,GEMIN5,gem nuclear organelle associated protein 5 [Source:HGNC Symbol;Acc:HGNC:20043]
