id,gene,description
cg00015121,THTPA,thiamine triphosphatase [Source:HGNC Symbol;Acc:HGNC:18987]
cg00022633,CDK8,cyclin dependent kinase 8 [Source:HGNC Symbol;Acc:HGNC:1779]
cg00094256,ANAPC4,anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]
cg00152799,TXNL1,thioredoxin like 1 [Source:HGNC Symbol;Acc:HGNC:12436]
cg00242976,UBE2C,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]
cg00251250,IRF2BP2,interferon regulatory factor 2 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21729]
cg00374747,CDKN1C,cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]
cg00506540,HAUS3,HAUS augmin like complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28719]
cg00621084,TMEM194B,NA
cg00623200,IGDCC4,immunoglobulin superfamily DCC subclass member 4 [Source:HGNC Symbol;Acc:HGNC:13770]
cg00649606,SLC19A2,solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]
cg00666746,SYDE1,synapse defective Rho GTPase homolog 1 [Source:HGNC Symbol;Acc:HGNC:25824]
cg00723275,XRCC5,X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]
cg00754232,TECPR1,tectonin beta-propeller repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:22214]
cg00776080,TENC1,NA
cg00986800,FNDC3B,fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24670]
cg01107185,ZC3HAV1,zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]
cg01129886,C20orf112,NA
cg01159601,D4S234E,NA
cg01353524,HEXIM2,hexamethylene bisacetamide inducible 2 [Source:HGNC Symbol;Acc:HGNC:28591]
cg01428687,C3orf10,NA
cg01493658,ABL1,ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]
cg01560900,OPN3,opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]
cg01570885,FAM50B,family with sequence similarity 50 member B [Source:HGNC Symbol;Acc:HGNC:18789]
cg01596986,NUDT15,nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063]
cg01658265,FAM43A,family with sequence similarity 43 member A [Source:HGNC Symbol;Acc:HGNC:26888]
cg01687401,FAM110A,family with sequence similarity 110 member A [Source:HGNC Symbol;Acc:HGNC:16188]
cg01693652,RPS21,ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]
cg01802653,HERC3,HECT and RLD domain containing E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:4876]
cg01838317,GCH1,GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]
cg01882150,MACROD1,MACRO domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29598]
cg02040583,DUT,deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]
cg02121704,CHEK1,checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]
cg02202169,FOXO1,forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]
cg02275292,CCM2,CCM2 scaffolding protein [Source:HGNC Symbol;Acc:HGNC:21708]
cg02290823,TMED1,transmembrane p24 trafficking protein 1 [Source:HGNC Symbol;Acc:HGNC:17291]
cg02305850,TIRAP,TIR domain containing adaptor protein [Source:HGNC Symbol;Acc:HGNC:17192]
cg02319142,SLC26A2,solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]
cg02365862,DSP,desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]
cg02376163,FBXO38,F-box protein 38 [Source:HGNC Symbol;Acc:HGNC:28844]
cg02550119,LIG3,DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]
cg02610689,FAM86A,NA
cg02717618,SETBP1,SET binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15573]
cg02720207,SIRT1,sirtuin 1 [Source:HGNC Symbol;Acc:HGNC:14929]
cg02809401,LTBP3,latent transforming growth factor beta binding protein 3 [Source:HGNC Symbol;Acc:HGNC:6716]
cg02975986,RAB4B,RAB4B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9782]
cg03068319,FAM8A1,family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372]
cg03173367,ANKRD39,ankyrin repeat domain 39 [Source:HGNC Symbol;Acc:HGNC:28640]
cg03209642,FES,FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]
cg03267400,AGBL5,ATP/GTP binding protein like 5 [Source:HGNC Symbol;Acc:HGNC:26147]
cg03344955,MCCC1,methylcrotonoyl-CoA carboxylase 1 [Source:HGNC Symbol;Acc:HGNC:6936]
cg03452174,RAB34,RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]
cg03572772,PCDHB15,protocadherin beta 15 [Source:HGNC Symbol;Acc:HGNC:8686]
cg03605365,INADL,NA
cg03857047,C12orf73,chromosome 12 open reading frame 73 [Source:HGNC Symbol;Acc:HGNC:34450]
cg03870138,CYBA,cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]
cg03888862,RAB28,RAB28, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9768]
cg03950476,ZCCHC11,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
cg03999372,IRX3,iroquois homeobox 3 [Source:HGNC Symbol;Acc:HGNC:14360]
cg04575016,C3orf64,NA
cg04699474,PIN1,peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]
cg04764416,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]
cg05131526,MAN2A2,mannosidase alpha class 2A member 2 [Source:HGNC Symbol;Acc:HGNC:6825]
cg05157251,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]
cg05194114,CCNDBP1,cyclin D1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1587]
cg05390694,KIAA1024,KIAA1024 [Source:HGNC Symbol;Acc:HGNC:29172]
cg05539369,FNIP2,folliculin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29280]
cg05575058,FAM164A,NA
cg05824755,NOTCH2,notch 2 [Source:HGNC Symbol;Acc:HGNC:7882]
cg05993306,HNRNPA0,heterogeneous nuclear ribonucleoprotein A0 [Source:HGNC Symbol;Acc:HGNC:5030]
cg06024411,FBLN7,fibulin 7 [Source:HGNC Symbol;Acc:HGNC:26740]
cg06405206,NXPH3,neurexophilin 3 [Source:HGNC Symbol;Acc:HGNC:8077]
cg06427759,COMMD10,COMM domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30201]
cg06584503,LOC374443,NA
cg06591456,KIAA0415,NA
cg06636356,BICD2,BICD cargo adaptor 2 [Source:HGNC Symbol;Acc:HGNC:17208]
cg06695812,EDC4,enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]
cg06834434,LTBP2,latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]
cg07001447,ZC3H15,zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]
cg07158808,C15orf39,chromosome 15 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:24497]
cg07173100,RNASEH1,ribonuclease H1 [Source:HGNC Symbol;Acc:HGNC:18466]
