id,gene,description
cg00002660,SMARCC2,SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol;Acc:HGNC:11105]
cg00099240,SYN3,synapsin III [Source:HGNC Symbol;Acc:HGNC:11496]
cg00148666,MT1X,metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405]
cg00154968,CDK13,cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:HGNC:1733]
cg00157962,FAM102B,family with sequence similarity 102 member B [Source:HGNC Symbol;Acc:HGNC:27637]
cg00205703,FAM131A,family with sequence similarity 131 member A [Source:HGNC Symbol;Acc:HGNC:28308]
cg00229232,MAP2K3,mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]
cg00245854,DCTN4,dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518]
cg00255919,IRF1,interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]
cg00267054,VPS54,VPS54, GARP complex subunit [Source:HGNC Symbol;Acc:HGNC:18652]
cg00292662,LGALS1,galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]
cg00292851,WDR4,WD repeat domain 4 [Source:HGNC Symbol;Acc:HGNC:12756]
cg00320027,PABPC1,poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]
cg00406338,NPEPL1,aminopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:16244]
cg00422248,CHERP,calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]
cg00466544,C14orf101,NA
cg00520612,RPL24,ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]
cg00564916,EIF2AK1,eukaryotic translation initiation factor 2 alpha kinase 1 [Source:HGNC Symbol;Acc:HGNC:24921]
cg00637178,ZNF622,zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]
cg00697642,PHYHIP,phytanoyl-CoA 2-hydroxylase interacting protein [Source:HGNC Symbol;Acc:HGNC:16865]
cg00742603,DBNDD1,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]
cg00795000,PGF,placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]
cg00846968,NHP2L1,NA
cg00852783,UBXN11,UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600]
cg00866572,FZD9,frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]
cg00975854,C1orf63,NA
cg00991576,MYPOP,Myb related transcription factor, partner of profilin [Source:HGNC Symbol;Acc:HGNC:20178]
cg01089639,JAK3,Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]
cg01206378,RWDD3,RWD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21393]
cg01390591,C3orf58,chromosome 3 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:28490]
cg01585852,MIF,macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]
cg01601573,GAB1,GRB2 associated binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4066]
cg01604611,ADSL,adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]
cg01615018,HOXC9,homeobox C9 [Source:HGNC Symbol;Acc:HGNC:5130]
cg01693305,CAPZB,capping actin protein of muscle Z-line beta subunit [Source:HGNC Symbol;Acc:HGNC:1491]
cg01720742,HSPC157,NA
cg01968759,OTUD4,OTU deubiquitinase 4 [Source:HGNC Symbol;Acc:HGNC:24949]
cg02013961,VTA1,vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]
cg02048645,SPAG9,sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]
cg02048890,FHOD3,formin homology 2 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26178]
cg02217979,SETD8,NA
cg02247430,GNPNAT1,glucosamine-phosphate N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:19980]
cg02247463,LRRC27,leucine rich repeat containing 27 [Source:HGNC Symbol;Acc:HGNC:29346]
cg02280038,AUH,AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890]
cg02285386,TOM1,target of myb1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11982]
