id,gene,description
cg00032884,FOXN2,forkhead box N2 [Source:HGNC Symbol;Acc:HGNC:5281]
cg00187414,TBC1D1,TBC1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:11578]
cg00251610,EBF1,early B cell factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]
cg00338002,C1orf38,NA
cg00410422,HBXIP,NA
cg00483459,ALS2CL,ALS2 C-terminal like [Source:HGNC Symbol;Acc:HGNC:20605]
cg00524967,RFC3,replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]
cg00563793,PACS1,phosphofurin acidic cluster sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:30032]
cg00566492,JOSD1,Josephin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28953]
cg00620452,GPD1L,glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]
cg00932688,C16orf87,chromosome 16 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33754]
cg00951770,RABGGTA,Rab geranylgeranyltransferase alpha subunit [Source:HGNC Symbol;Acc:HGNC:9795]
cg01092811,NUDT16,nudix hydrolase 16 [Source:HGNC Symbol;Acc:HGNC:26442]
cg01170643,DRG1,developmentally regulated GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3029]
cg01210909,TET2,tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941]
cg01305045,C17orf42,NA
cg01347228,RNF135,ring finger protein 135 [Source:HGNC Symbol;Acc:HGNC:21158]
cg01555432,PLEKHM2,pleckstrin homology and RUN domain containing M2 [Source:HGNC Symbol;Acc:HGNC:29131]
cg01686920,IRX5,iroquois homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14361]
cg01894110,FN1,fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]
cg01912455,SMARCB1,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:HGNC Symbol;Acc:HGNC:11103]
cg01986123,ARL4A,ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]
cg02085838,TRIO,trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]
cg02172790,AHSA2,NA
cg02215357,HNRNPA1L2,heterogeneous nuclear ribonucleoprotein A1-like 2 [Source:HGNC Symbol;Acc:HGNC:27067]
cg02316506,ZBTB47,zinc finger and BTB domain containing 47 [Source:HGNC Symbol;Acc:HGNC:26955]
cg02337166,NR1D1,nuclear receptor subfamily 1 group D member 1 [Source:HGNC Symbol;Acc:HGNC:7962]
cg02461883,OBFC2A,NA
cg02821500,CHIC2,cysteine rich hydrophobic domain 2 [Source:HGNC Symbol;Acc:HGNC:1935]
cg02883230,PARP6,poly(ADP-ribose) polymerase family member 6 [Source:HGNC Symbol;Acc:HGNC:26921]
cg03036777,TRIM62,tripartite motif containing 62 [Source:HGNC Symbol;Acc:HGNC:25574]
cg03275130,B3GAT3,beta-1,3-glucuronyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:923]
cg03328526,SYT11,synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]
cg03345145,ACAA2,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
cg03358887,C6orf72,NA
cg03468541,ZC3H14,zinc finger CCCH-type containing 14 [Source:HGNC Symbol;Acc:HGNC:20509]
cg03528946,SHB,SH2 domain containing adaptor protein B [Source:HGNC Symbol;Acc:HGNC:10838]
cg03617487,TP53BP1,tumor protein p53 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11999]
cg03623770,C10orf58,NA
cg03624661,APH1B,aph-1 homolog B, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:24080]
cg03631331,C11orf9,NA
cg03746590,DCTN6,dynactin subunit 6 [Source:HGNC Symbol;Acc:HGNC:16964]
cg03801030,APBB1,amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]
cg03922748,DNAJB2,DnaJ heat shock protein family (Hsp40) member B2 [Source:HGNC Symbol;Acc:HGNC:5228]
cg03946034,CCDC88C,coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]
cg03954991,OSCP1,organic solute carrier partner 1 [Source:HGNC Symbol;Acc:HGNC:29971]
cg04153536,FBXO10,F-box protein 10 [Source:HGNC Symbol;Acc:HGNC:13589]
cg04222463,RRP7A,ribosomal RNA processing 7 homolog A [Source:HGNC Symbol;Acc:HGNC:24286]
cg04518342,PDLIM4,PDZ and LIM domain 4 [Source:HGNC Symbol;Acc:HGNC:16501]
cg04722756,DENND4B,DENN domain containing 4B [Source:HGNC Symbol;Acc:HGNC:29044]
cg04808059,TOX2,TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:HGNC:16095]
cg04823168,RGMA,repulsive guidance molecule BMP co-receptor a [Source:HGNC Symbol;Acc:HGNC:30308]
cg04832844,RBPJ,recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]
cg04883742,SLC22A23,solute carrier family 22 member 23 [Source:HGNC Symbol;Acc:HGNC:21106]
cg04895581,RBM12B,RNA binding motif protein 12B [Source:HGNC Symbol;Acc:HGNC:32310]
cg05110225,SUMF2,sulfatase modifying factor 2 [Source:HGNC Symbol;Acc:HGNC:20415]
cg05175333,ROCK1,Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]
cg05226019,DEGS1,delta 4-desaturase, sphingolipid 1 [Source:HGNC Symbol;Acc:HGNC:13709]
cg05277991,MITF,melanogenesis associated transcription factor [Source:HGNC Symbol;Acc:HGNC:7105]
cg05727186,MGC57346,NA
cg06024236,RHOT1,ras homolog family member T1 [Source:HGNC Symbol;Acc:HGNC:21168]
cg06030166,PARVB,parvin beta [Source:HGNC Symbol;Acc:HGNC:14653]
cg06328061,TRPS1,transcriptional repressor GATA binding 1 [Source:HGNC Symbol;Acc:HGNC:12340]
cg06353330,LRRC8C,leucine rich repeat containing 8 VRAC subunit C [Source:HGNC Symbol;Acc:HGNC:25075]
cg06382459,SKI,SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]
cg06410694,ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6 (putative) [Source:HGNC Symbol;Acc:HGNC:3368]
