id,gene,description
cg00069261,CDR2,cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]
cg00115288,EPS8L2,EPS8 like 2 [Source:HGNC Symbol;Acc:HGNC:21296]
cg00143527,MESDC1,NA
cg00399390,FNBP4,formin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19752]
cg00476580,ANP32E,acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]
cg00552387,CSRNP2,cysteine and serine rich nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16006]
cg00758374,C3orf52,chromosome 3 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:26255]
cg00777652,HERC4,HECT and RLD domain containing E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:24521]
cg00868383,ZNF132,zinc finger protein 132 [Source:HGNC Symbol;Acc:HGNC:12916]
cg00876501,EIF4E,eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]
cg00945507,SEC61G,Sec61 translocon gamma subunit [Source:HGNC Symbol;Acc:HGNC:18277]
cg00986320,CYFIP2,cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]
cg01060409,RAN,RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]
cg01075763,TGIF1,TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]
cg01158680,MAGI2,membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]
cg01169738,PKNOX1,PBX/knotted 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9022]
cg01464985,ZNF512,zinc finger protein 512 [Source:HGNC Symbol;Acc:HGNC:29380]
cg01519158,PSMC4,proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]
cg01606324,PHF13,PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]
cg01607752,ZNF587,zinc finger protein 587 [Source:HGNC Symbol;Acc:HGNC:30955]
cg01651593,CDC20,cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]
cg01750507,USP14,ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]
cg01939212,KIAA0182,NA
cg01953119,SDC1,syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]
cg01963002,LMTK2,lemur tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:17880]
cg01970017,PSMB3,proteasome subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:9540]
cg01985858,OBFC2B,NA
cg02059047,NDUFA4L2,NDUFA4, mitochondrial complex associated like 2 [Source:HGNC Symbol;Acc:HGNC:29836]
cg02081905,NR2C2,nuclear receptor subfamily 2 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7972]
cg02357046,FAM53A,family with sequence similarity 53 member A [Source:HGNC Symbol;Acc:HGNC:31860]
cg02487654,TSGA14,NA
cg02550949,ETNK1,ethanolamine kinase 1 [Source:HGNC Symbol;Acc:HGNC:24649]
cg02570977,ZNF696,zinc finger protein 696 [Source:HGNC Symbol;Acc:HGNC:25872]
cg02584432,SPATA24,spermatogenesis associated 24 [Source:HGNC Symbol;Acc:HGNC:27322]
cg02639181,KIDINS220,kinase D interacting substrate 220 [Source:HGNC Symbol;Acc:HGNC:29508]
cg02639294,ZNF48,zinc finger protein 48 [Source:HGNC Symbol;Acc:HGNC:13114]
cg02774935,YPEL1,yippee like 1 [Source:HGNC Symbol;Acc:HGNC:12845]
cg03008269,BTBD10,BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:21445]
cg03065625,LRP4,LDL receptor related protein 4 [Source:HGNC Symbol;Acc:HGNC:6696]
cg03143060,NEK4,NIMA related kinase 4 [Source:HGNC Symbol;Acc:HGNC:11399]
cg03243700,WDR5,WD repeat domain 5 [Source:HGNC Symbol;Acc:HGNC:12757]
cg03264550,GNAS,GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]
cg03309722,INO80B,INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324]
cg03414631,FAM54B,NA
cg03760308,SENP6,SUMO1/sentrin specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944]
cg03771939,TBC1D12,TBC1 domain family member 12 [Source:HGNC Symbol;Acc:HGNC:29082]
cg03944843,SFRS13A,NA
cg04202120,AMN1,antagonist of mitotic exit network 1 homolog [Source:HGNC Symbol;Acc:HGNC:27281]
cg04222920,SNX13,sorting nexin 13 [Source:HGNC Symbol;Acc:HGNC:21335]
cg04284140,POLD2,DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]
cg04369958,SUPT5H,SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]
cg04439376,TMEM87B,transmembrane protein 87B [Source:HGNC Symbol;Acc:HGNC:25913]
cg04490478,HMBS,hydroxymethylbilane synthase [Source:HGNC Symbol;Acc:HGNC:4982]
cg04570827,ZC3H13,zinc finger CCCH-type containing 13 [Source:HGNC Symbol;Acc:HGNC:20368]
cg04571604,UBR5,ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:HGNC:16806]
cg04789776,KIAA1967,NA
cg05226518,CNIH,NA
cg05461632,ANKFY1,ankyrin repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20763]
cg05529754,ZDHHC7,zinc finger DHHC-type containing 7 [Source:HGNC Symbol;Acc:HGNC:18459]
cg05656486,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]
cg06102330,MSC,musculin [Source:HGNC Symbol;Acc:HGNC:7321]
cg06126815,PON2,paraoxonase 2 [Source:HGNC Symbol;Acc:HGNC:9205]
cg06182584,C6orf136,chromosome 6 open reading frame 136 [Source:HGNC Symbol;Acc:HGNC:21301]
cg06284244,YES1,YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]
cg06389934,FAM117B,family with sequence similarity 117 member B [Source:HGNC Symbol;Acc:HGNC:14440]
cg06394476,ACTR2,ARP2 actin related protein 2 homolog [Source:HGNC Symbol;Acc:HGNC:169]
cg06483239,SRP14,signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]
cg06716437,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]
cg06730721,ABCA7,ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]
cg06823926,SNUPN,snurportin 1 [Source:HGNC Symbol;Acc:HGNC:14245]
cg07025471,GPBP1,GC-rich promoter binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29520]
cg07060183,VEZF1,vascular endothelial zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:12949]
cg07230380,SCD,stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]
cg07257042,STAT5B,signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]
cg07350718,CYR61,cysteine rich angiogenic inducer 61 [Source:HGNC Symbol;Acc:HGNC:2654]
cg07473175,AMIGO2,adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]
cg07591395,RBM8A,RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905]
cg07813747,LOC100271836,NA
cg08243963,SC5DL,NA
