id,gene,description
cg00051068,JAG1,jagged 1 [Source:HGNC Symbol;Acc:HGNC:6188]
cg00076538,EGFLAM,EGF like, fibronectin type III and laminin G domains [Source:HGNC Symbol;Acc:HGNC:26810]
cg00090609,PRDM4,PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]
cg00136105,GNPTAB,N-acetylglucosamine-1-phosphate transferase alpha and beta subunits [Source:HGNC Symbol;Acc:HGNC:29670]
cg00157456,DHODH,dihydroorotate dehydrogenase (quinone) [Source:HGNC Symbol;Acc:HGNC:2867]
cg00161345,NAE1,NEDD8 activating enzyme E1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:621]
cg00177496,BDH1,3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]
cg00184203,FAM171B,family with sequence similarity 171 member B [Source:HGNC Symbol;Acc:HGNC:29412]
cg00236225,LASS5,NA
cg00276377,FBXL3,F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]
cg00357213,FAM188A,NA
cg00390775,PRUNE2,prune homolog 2 [Source:HGNC Symbol;Acc:HGNC:25209]
cg00396677,HIPK3,homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]
cg00405699,ST8SIA4,ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]
cg00557469,PPP2CA,protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]
cg00577147,C3orf31,NA
cg00583303,FAM134B,NA
cg00598009,TUBGCP3,tubulin gamma complex associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18598]
cg00615145,ARHGEF11,Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]
cg00624212,NBEAL2,neurobeachin like 2 [Source:HGNC Symbol;Acc:HGNC:31928]
cg00636809,EGR2,early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]
