id,gene,description
cg00010992,TIGD2,tigger transposable element derived 2 [Source:HGNC Symbol;Acc:HGNC:18333]
cg00011856,IGFBP5,insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]
cg00023464,CARKD,NA
cg00024404,SERINC5,serine incorporator 5 [Source:HGNC Symbol;Acc:HGNC:18825]
cg00061413,PANK3,pantothenate kinase 3 [Source:HGNC Symbol;Acc:HGNC:19365]
cg00065048,FGR,FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]
cg00086297,BTBD12,NA
cg00101115,SUPT4H1,SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]
cg00103329,ETNK2,ethanolamine kinase 2 [Source:HGNC Symbol;Acc:HGNC:25575]
cg00160619,B3GALNT1,beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]
cg00189989,CLDN5,claudin 5 [Source:HGNC Symbol;Acc:HGNC:2047]
cg00191882,CCDC46,NA
cg00194681,WDYHV1,WDYHV motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25490]
cg00241281,PACS2,phosphofurin acidic cluster sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:23794]
cg00259755,PWWP2B,PWWP domain containing 2B [Source:HGNC Symbol;Acc:HGNC:25150]
cg00261416,DAB2,DAB2, clathrin adaptor protein [Source:HGNC Symbol;Acc:HGNC:2662]
cg00296158,POU2F1,POU class 2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9212]
cg00299660,LRRC32,leucine rich repeat containing 32 [Source:HGNC Symbol;Acc:HGNC:4161]
cg00307214,GALNTL1,NA
cg00307254,PLXNA1,plexin A1 [Source:HGNC Symbol;Acc:HGNC:9099]
cg00308159,MN1,MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]
cg00321850,KIAA0040,KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]
cg00329472,R3HCC1,R3H domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:27329]
cg00346446,MRPL24,mitochondrial ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:14037]
cg00352043,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]
cg00356213,STOML2,stomatin like 2 [Source:HGNC Symbol;Acc:HGNC:14559]
cg00356818,MTRF1L,mitochondrial translational release factor 1 like [Source:HGNC Symbol;Acc:HGNC:21051]
cg00366837,JUNB,JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]
cg00380150,EIF4ENIF1,eukaryotic translation initiation factor 4E nuclear import factor 1 [Source:HGNC Symbol;Acc:HGNC:16687]
cg00386702,ZNF780B,zinc finger protein 780B [Source:HGNC Symbol;Acc:HGNC:33109]
cg00394040,IL10RA,interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]
cg00394830,PAN2,PAN2 poly(A) specific ribonuclease subunit [Source:HGNC Symbol;Acc:HGNC:20074]
cg00428492,GTPBP8,GTP binding protein 8 (putative) [Source:HGNC Symbol;Acc:HGNC:25007]
cg00429477,ZNF384,zinc finger protein 384 [Source:HGNC Symbol;Acc:HGNC:11955]
cg00450060,TMEM57,NA
cg00454305,UNKL,unkempt family like zinc finger [Source:HGNC Symbol;Acc:HGNC:14184]
cg00455178,CYP2R1,cytochrome P450 family 2 subfamily R member 1 [Source:HGNC Symbol;Acc:HGNC:20580]
cg00460684,MSI2,musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]
cg00480856,WASL,Wiskott-Aldrich syndrome like [Source:HGNC Symbol;Acc:HGNC:12735]
cg00481259,DECR2,2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]
cg00482898,SNRPG,small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]
cg00489219,ZNF621,zinc finger protein 621 [Source:HGNC Symbol;Acc:HGNC:24787]
cg00509187,ENOX1,ecto-NOX disulfide-thiol exchanger 1 [Source:HGNC Symbol;Acc:HGNC:25474]
cg00520135,TPM1,tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]
cg00521598,MYCBP,MYC binding protein [Source:HGNC Symbol;Acc:HGNC:7554]
cg00527653,SGPL1,sphingosine-1-phosphate lyase 1 [Source:HGNC Symbol;Acc:HGNC:10817]
cg00564831,CDC7,cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]
cg00576075,C1orf52,chromosome 1 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:24871]
cg00581731,NPAS2,neuronal PAS domain protein 2 [Source:HGNC Symbol;Acc:HGNC:7895]
cg00592643,BTBD3,BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15854]
cg00594300,ITFG3,NA
cg00597076,MYO1C,myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]
cg00603512,PDCL3,phosducin like 3 [Source:HGNC Symbol;Acc:HGNC:28860]
cg00608534,RAD51,RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]
cg00622682,FBXO7,F-box protein 7 [Source:HGNC Symbol;Acc:HGNC:13586]
cg00626843,RFX7,regulatory factor X7 [Source:HGNC Symbol;Acc:HGNC:25777]
cg00659953,FAM173A,family with sequence similarity 173 member A [Source:HGNC Symbol;Acc:HGNC:14152]
cg00667976,ARL1,ADP ribosylation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:692]
cg00723044,MAP3K9,mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]
cg00757789,WDTC1,WD and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:29175]
cg00785193,CRIM1,cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]
cg00792740,UBE3A,ubiquitin protein ligase E3A [Source:HGNC Symbol;Acc:HGNC:12496]
cg00804031,PIAS4,protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]
cg00807892,MOBKL1A,NA
cg00823995,IRF2BP1,interferon regulatory factor 2 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21728]
cg00831909,PDPN,podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]
cg00833394,RALGPS2,Ral GEF with PH domain and SH3 binding motif 2 [Source:HGNC Symbol;Acc:HGNC:30279]
cg00863986,NBPF15,NBPF member 15 [Source:HGNC Symbol;Acc:HGNC:28791]
cg00909993,PTPN4,protein tyrosine phosphatase, non-receptor type 4 [Source:HGNC Symbol;Acc:HGNC:9656]
cg00912939,PRKRIP1,PRKR interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21894]
cg00929050,ARF6,ADP ribosylation factor 6 [Source:HGNC Symbol;Acc:HGNC:659]
cg00955686,MAP7D1,MAP7 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25514]
cg00982271,ECE1,endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]
cg00987278,MDN1,midasin AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:18302]
cg01000553,ASAP3,ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]
cg01015416,PTPN12,protein tyrosine phosphatase, non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]
cg01015879,RDX,radixin [Source:HGNC Symbol;Acc:HGNC:9944]
cg01017147,DNM3,dynamin 3 [Source:HGNC Symbol;Acc:HGNC:29125]
cg01030476,LGALS8,galectin 8 [Source:HGNC Symbol;Acc:HGNC:6569]
cg01044692,FAM119A,NA
cg01050920,SMPDL3A,sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]
cg01070095,SETD1A,SET domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29010]
cg01083689,DHRS3,dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]
cg01095157,GORASP2,golgi reassembly stacking protein 2 [Source:HGNC Symbol;Acc:HGNC:17500]
cg01141580,TBX2,T-box 2 [Source:HGNC Symbol;Acc:HGNC:11597]
cg01156108,ITGA3,integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]
cg01186919,ALG9,ALG9, alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:15672]
cg01200177,POLR2D,RNA polymerase II subunit D [Source:HGNC Symbol;Acc:HGNC:9191]
cg01230243,KIAA1244,NA
cg01239651,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]
cg01261503,POLG2,DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]
cg01263532,PTER,phosphotriesterase related [Source:HGNC Symbol;Acc:HGNC:9590]
cg01271129,KCNMB3,potassium calcium-activated channel subfamily M regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6287]
cg01281718,SMAP1,small ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:19651]
cg01298758,USP47,ubiquitin specific peptidase 47 [Source:HGNC Symbol;Acc:HGNC:20076]
cg01311222,HEG1,heart development protein with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:29227]
cg01373189,N4BP2L1,NEDD4 binding protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:25037]
cg01384143,C3orf14,chromosome 3 open reading frame 14 [Source:HGNC Symbol;Acc:HGNC:25024]
cg01387102,MLPH,melanophilin [Source:HGNC Symbol;Acc:HGNC:29643]
cg01407062,PRC1,protein regulator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:9341]
cg01409985,SRPRB,SRP receptor beta subunit [Source:HGNC Symbol;Acc:HGNC:24085]
cg01414289,PLXNC1,plexin C1 [Source:HGNC Symbol;Acc:HGNC:9106]
cg01421119,C1orf97,NA
cg01422009,MPG,N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]
