id,gene,description
cg00004996,MTMR7,myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]
cg00014806,GADD45B,growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]
cg00032686,FGFRL1,fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]
cg00040873,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10 [Source:HGNC Symbol;Acc:HGNC:7696]
cg00055848,B3GNT2,UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]
cg00078194,MDK,midkine [Source:HGNC Symbol;Acc:HGNC:6972]
cg00081574,EPHA4,EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]
cg00098693,HMCN1,hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
cg00117965,FAM195A,NA
cg00119314,RSAD1,radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25634]
cg00121884,C20orf29,NA
cg00145489,IMPA2,inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]
cg00162940,PPM1D,protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]
cg00166770,C20orf43,NA
cg00178429,KLF10,Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]
cg00280991,TMEM194A,NA
cg00326131,RTKN,rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]
cg00330502,CTDSP1,CTD small phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:21614]
cg00331237,CSRP2,cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]
cg00345314,SGK3,serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]
cg00345366,SAAL1,serum amyloid A like 1 [Source:HGNC Symbol;Acc:HGNC:25158]
cg00354179,KIAA1614,KIAA1614 [Source:HGNC Symbol;Acc:HGNC:29327]
cg00355802,DUSP4,dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]
cg00357888,PPIF,peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]
cg00394793,TLE3,transducin like enhancer of split 3 [Source:HGNC Symbol;Acc:HGNC:11839]
cg00399591,RPS15A,ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389]
cg00402533,HECW2,HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]
cg00426822,MACF1,microtubule-actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]
cg00427296,MYH10,myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]
cg00445755,MGAT5B,mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B [Source:HGNC Symbol;Acc:HGNC:24140]
cg00454932,METTL13,methyltransferase like 13 [Source:HGNC Symbol;Acc:HGNC:24248]
cg00471141,LPL,lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]
cg00472375,ENTPD4,ectonucleoside triphosphate diphosphohydrolase 4 [Source:HGNC Symbol;Acc:HGNC:14573]
cg00475085,PRPF19,pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896]
cg00487155,LOC100129637,NA
cg00499475,TBX3,T-box 3 [Source:HGNC Symbol;Acc:HGNC:11602]
cg00500892,NPR1,natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943]
cg00505393,E2F1,E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]
cg00509207,TSPAN11,tetraspanin 11 [Source:HGNC Symbol;Acc:HGNC:30795]
cg00516030,CTGF,connective tissue growth factor [Source:HGNC Symbol;Acc:HGNC:2500]
cg00521255,HBEGF,heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]
cg00524169,ACTN4,actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]
cg00534240,ST6GALNAC3,ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]
cg00543329,CLSPN,claspin [Source:HGNC Symbol;Acc:HGNC:19715]
cg00545681,F3,coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]
cg00555096,ZNF420,zinc finger protein 420 [Source:HGNC Symbol;Acc:HGNC:20649]
cg00558174,ANKH,ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]
cg00562905,FZD2,frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]
cg00578719,KLF16,Kruppel like factor 16 [Source:HGNC Symbol;Acc:HGNC:16857]
cg00584861,C12orf41,NA
cg00588090,PUS1,pseudouridylate synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]
cg00632811,PWP1,PWP1 homolog, endonuclein [Source:HGNC Symbol;Acc:HGNC:17015]
cg00635944,C16orf53,NA
cg00664682,SLC41A1,solute carrier family 41 member 1 [Source:HGNC Symbol;Acc:HGNC:19429]
cg00668150,KIAA0664,NA
cg00686761,CEP192,centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]
cg00704305,ECHDC1,ethylmalonyl-CoA decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:21489]
cg00707741,FARP2,FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]
cg00715241,CAMTA2,calmodulin binding transcription activator 2 [Source:HGNC Symbol;Acc:HGNC:18807]
cg00716257,JDP2,Jun dimerization protein 2 [Source:HGNC Symbol;Acc:HGNC:17546]
cg00718036,SGMS2,sphingomyelin synthase 2 [Source:HGNC Symbol;Acc:HGNC:28395]
cg00719165,ZNF513,zinc finger protein 513 [Source:HGNC Symbol;Acc:HGNC:26498]
cg00751072,SSBP4,single stranded DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:15676]
cg00771553,VANGL1,VANGL planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:15512]
cg00771653,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:HGNC Symbol;Acc:HGNC:15559]
cg00774100,MICB,MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]
cg00805360,ADAM8,ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]
cg00814733,CCND2,cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]
cg00815862,FAM38A,NA
cg00870662,PARD6G,par-6 family cell polarity regulator gamma [Source:HGNC Symbol;Acc:HGNC:16076]
cg00877964,SLC1A4,solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]
cg00889031,PSMB8,proteasome subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]
cg00893242,SND1,staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]
cg00901401,FKBP1B,FK506 binding protein 1B [Source:HGNC Symbol;Acc:HGNC:3712]
cg00917031,MEGF9,multiple EGF like domains 9 [Source:HGNC Symbol;Acc:HGNC:3234]
cg00920254,SLC29A1,solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]
cg00934624,PTGR2,prostaglandin reductase 2 [Source:HGNC Symbol;Acc:HGNC:20149]
cg00944433,PRMT6,protein arginine methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18241]
cg00964109,UBL7,ubiquitin like 7 [Source:HGNC Symbol;Acc:HGNC:28221]
cg00965469,LY6G5C,lymphocyte antigen 6 family member G5C [Source:HGNC Symbol;Acc:HGNC:13932]
cg00980776,ANAPC1,anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]
cg00985729,IER3,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
cg00987176,NFKB2,nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]
cg00987379,ZNF395,zinc finger protein 395 [Source:HGNC Symbol;Acc:HGNC:18737]
cg00992153,C8orf58,chromosome 8 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:32233]
cg00994601,C6orf47,chromosome 6 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:19076]
cg01024473,CCDC28B,coiled-coil domain containing 28B [Source:HGNC Symbol;Acc:HGNC:28163]
cg01036746,C14orf37,chromosome 14 open reading frame 37 [Source:HGNC Symbol;Acc:HGNC:19846]
cg01044394,MANF,mesencephalic astrocyte derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:15461]
cg01044662,C2orf3,NA
cg01048372,C8orf73,NA
cg01049775,ATF4,activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]
cg01065977,ISYNA1,inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]
cg01068808,GLT25D2,NA
cg01069965,B4GALT5,beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]
cg01092213,UPP1,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]
cg01100984,FBXW4,F-box and WD repeat domain containing 4 [Source:HGNC Symbol;Acc:HGNC:10847]
cg01102379,GAB2,GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]
cg01108219,SLC25A36,solute carrier family 25 member 36 [Source:HGNC Symbol;Acc:HGNC:25554]
cg01119680,PMM1,phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]
cg01136750,PDSS1,decaprenyl diphosphate synthase subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759]
cg01139031,TMED4,transmembrane p24 trafficking protein 4 [Source:HGNC Symbol;Acc:HGNC:22301]
cg01169952,SGEF,NA
cg01176715,C2orf67,NA
cg01177854,ESRP2,epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:26152]
cg01184449,EML4,echinoderm microtubule associated protein like 4 [Source:HGNC Symbol;Acc:HGNC:1316]
cg01187627,OSBP,oxysterol binding protein [Source:HGNC Symbol;Acc:HGNC:8503]
cg01189915,C7orf68,NA
cg01211109,RABEPK,Rab9 effector protein with kelch motifs [Source:HGNC Symbol;Acc:HGNC:16896]
cg01241986,YY1,YY1 transcription factor [Source:HGNC Symbol;Acc:HGNC:12856]
cg01244303,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]
cg01248010,STK25,serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]
cg01256681,GTPBP3,GTP binding protein 3, mitochondrial [Source:HGNC Symbol;Acc:HGNC:14880]
cg01267941,SHMT2,serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]
cg01289861,VHL,von Hippel-Lindau tumor suppressor [Source:HGNC Symbol;Acc:HGNC:12687]
cg01289902,ANXA7,annexin A7 [Source:HGNC Symbol;Acc:HGNC:545]
cg01341755,CYP51A1,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]
cg01346589,RCC2,regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]
cg01360067,PPP3CB,protein phosphatase 3 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9315]
cg01411142,INTS10,integrator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:25548]
cg01411731,NANP,N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140]
cg01412886,AHNAK2,AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]
cg01420215,MRPL44,mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650]
cg01434121,SLC37A4,solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]
cg01434783,SPRY1,sprouty RTK signaling antagonist 1 [Source:HGNC Symbol;Acc:HGNC:11269]
cg01442481,RALY,RALY heterogeneous nuclear ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15921]
cg01468309,PARVA,parvin alpha [Source:HGNC Symbol;Acc:HGNC:14652]
cg01470323,SLC29A2,solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]
cg01472538,SETD6,SET domain containing 6 [Source:HGNC Symbol;Acc:HGNC:26116]
cg01475538,RRAS2,RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]
cg01529538,RBM23,RNA binding motif protein 23 [Source:HGNC Symbol;Acc:HGNC:20155]
cg01547733,FBXO5,F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]
cg01553004,C14orf4,NA
cg01557297,SLC22A17,solute carrier family 22 member 17 [Source:HGNC Symbol;Acc:HGNC:23095]
cg01561916,HAAO,3-hydroxyanthranilate 3,4-dioxygenase [Source:HGNC Symbol;Acc:HGNC:4796]
cg01601050,STXBP6,syntaxin binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19666]
cg01607849,TPI1,triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]
cg01629435,DGUOK,deoxyguanosine kinase [Source:HGNC Symbol;Acc:HGNC:2858]
cg01642070,ASH2L,ASH2 like histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:744]
cg01653445,BAI2,NA
cg01719995,USP38,ubiquitin specific peptidase 38 [Source:HGNC Symbol;Acc:HGNC:20067]
cg01745499,HMGA1,high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]
cg01777397,CLIP4,CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108]
cg01782826,RCSD1,RCSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28310]
cg01811796,STMN1,stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]
cg01816031,RPP40,ribonuclease P/MRP subunit p40 [Source:HGNC Symbol;Acc:HGNC:20992]
cg01820754,FERMT2,fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]
cg01835489,KRT8,keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]
cg01845451,TCIRG1,T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]
cg01906709,C3orf59,NA
cg01931958,ERC1,ELKS/RAB6-interacting/CAST family member 1 [Source:HGNC Symbol;Acc:HGNC:17072]
cg01969938,LIG4,DNA ligase 4 [Source:HGNC Symbol;Acc:HGNC:6601]
cg01977082,COX6C,cytochrome c oxidase subunit 6C [Source:HGNC Symbol;Acc:HGNC:2285]
cg01990225,LMAN2L,lectin, mannose binding 2 like [Source:HGNC Symbol;Acc:HGNC:19263]
cg01990334,FOXJ3,forkhead box J3 [Source:HGNC Symbol;Acc:HGNC:29178]
cg01994542,EIF5,eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]
cg01997529,C19orf22,NA
cg02003041,CBFA2T3,CBFA2/RUNX1 translocation partner 3 [Source:HGNC Symbol;Acc:HGNC:1537]
cg02024846,CDC14B,cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]
cg02071712,NT5DC3,5'-nucleotidase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30826]
cg02075454,ING1,inhibitor of growth family member 1 [Source:HGNC Symbol;Acc:HGNC:6062]
cg02075570,SLC45A3,solute carrier family 45 member 3 [Source:HGNC Symbol;Acc:HGNC:8642]
cg02081976,SOAT1,sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]
cg02096001,EIF1,eukaryotic translation initiation factor 1 [Source:HGNC Symbol;Acc:HGNC:3249]
cg02102075,RAB11FIP3,RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]
cg02121749,HAPLN3,hyaluronan and proteoglycan link protein 3 [Source:HGNC Symbol;Acc:HGNC:21446]
cg02137183,AGK,acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]
cg02144516,AURKAIP1,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]
cg02145048,RAE1,ribonucleic acid export 1 [Source:HGNC Symbol;Acc:HGNC:9828]
cg02159610,PRRT2,proline rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30500]
cg02172616,EED,embryonic ectoderm development [Source:HGNC Symbol;Acc:HGNC:3188]
cg02177621,STYX,serine/threonine/tyrosine interacting protein [Source:HGNC Symbol;Acc:HGNC:11447]
cg02205739,PRRX2,paired related homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21338]
cg02241241,ABCG1,ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]
cg02244288,SPG7,SPG7, paraplegin matrix AAA peptidase subunit [Source:HGNC Symbol;Acc:HGNC:11237]
cg02276944,GPD2,glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]
cg02283238,TNFAIP8,TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]
cg02289189,PHF11,PHD finger protein 11 [Source:HGNC Symbol;Acc:HGNC:17024]
cg02303805,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]
cg02317785,WDR5B,WD repeat domain 5B [Source:HGNC Symbol;Acc:HGNC:17826]
cg02322140,USP7,ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]
cg02324021,RASA1,RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]
cg02351179,RAB1B,RAB1B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18370]
cg02361903,CSF1,colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]
cg02375320,SFRS7,NA
cg02393097,CLU,clusterin [Source:HGNC Symbol;Acc:HGNC:2095]
cg02397782,DGAT2,diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]
cg02400751,RNF169,ring finger protein 169 [Source:HGNC Symbol;Acc:HGNC:26961]
cg02404636,SFI1,SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]
cg02407048,PION,NA
cg02430305,DCTD,dCMP deaminase [Source:HGNC Symbol;Acc:HGNC:2710]
cg02432528,GDPD5,glycerophosphodiester phosphodiesterase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28804]
cg02446081,FAM54A,NA
cg02452627,ZNF438,zinc finger protein 438 [Source:HGNC Symbol;Acc:HGNC:21029]
cg02458483,KIAA1522,KIAA1522 [Source:HGNC Symbol;Acc:HGNC:29301]
cg02464093,DCBLD2,discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]
cg02475416,RING1,ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:10018]
cg02477448,H1F0,H1 histone family member 0 [Source:HGNC Symbol;Acc:HGNC:4714]
cg02486855,SMAD3,SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]
cg02493740,VAMP5,vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646]
cg02494664,SLMAP,sarcolemma associated protein [Source:HGNC Symbol;Acc:HGNC:16643]
cg02513485,SPTBN1,spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]
cg02531214,ZNF37A,zinc finger protein 37A [Source:HGNC Symbol;Acc:HGNC:13102]
cg02535111,TRMT11,tRNA methyltransferase 11 homolog [Source:HGNC Symbol;Acc:HGNC:21080]
cg02536026,ARRB1,arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]
cg02587129,CEP250,centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]
cg02617702,FCHO1,FCH domain only 1 [Source:HGNC Symbol;Acc:HGNC:29002]
cg02623413,ALG6,ALG6, alpha-1,3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23157]
cg02625929,HLX,H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]
cg02633761,IQSEC1,IQ motif and Sec7 domain 1 [Source:HGNC Symbol;Acc:HGNC:29112]
cg02641560,RCAN3,RCAN family member 3 [Source:HGNC Symbol;Acc:HGNC:3042]
cg02650323,ERLIN2,ER lipid raft associated 2 [Source:HGNC Symbol;Acc:HGNC:1356]
cg02654291,C9orf64,chromosome 9 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:28144]
cg02671819,LOC146880,NA
cg02703843,SLC43A2,solute carrier family 43 member 2 [Source:HGNC Symbol;Acc:HGNC:23087]
cg02709052,TMEM135,transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]
cg02716173,PDLIM5,PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]
cg02735446,VASH1,vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]
cg02783889,SCUBE2,signal peptide, CUB domain and EGF like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30425]
cg02789515,WSB1,WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]
cg02835499,CBX1,chromobox 1 [Source:HGNC Symbol;Acc:HGNC:1551]
cg02863476,RBBP8,RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]
cg02876925,SEPT11,septin 11 [Source:HGNC Symbol;Acc:HGNC:25589]
cg02885771,LTV1,LTV1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:21173]
cg02893482,C20orf194,chromosome 20 open reading frame 194 [Source:HGNC Symbol;Acc:HGNC:17721]
cg02896624,SDCBP,syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662]
cg02898721,RARA,retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]
cg02907176,FGFR1OP,FGFR1 oncogene partner [Source:HGNC Symbol;Acc:HGNC:17012]
cg02917772,CTH,cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]
cg02929956,DNAL1,dynein axonemal light chain 1 [Source:HGNC Symbol;Acc:HGNC:23247]
cg02930951,CEBPB,CCAAT/enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]
cg02951971,SOS2,SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]
cg02959669,ZNF256,zinc finger protein 256 [Source:HGNC Symbol;Acc:HGNC:13049]
cg02965157,TRIT1,tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]
cg03015610,C16orf80,NA
cg03052606,SCUBE3,signal peptide, CUB domain and EGF like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:13655]
cg03087198,SPTY2D1,SPT2 chromatin protein domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26818]
cg03088475,ZNF251,zinc finger protein 251 [Source:HGNC Symbol;Acc:HGNC:13045]
cg03135713,C13orf18,NA
cg03149699,PRICKLE1,prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]
cg03159124,LAMA1,laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]
cg03171465,C2orf55,NA
cg03175771,PRR14,proline rich 14 [Source:HGNC Symbol;Acc:HGNC:28458]
cg03179429,CDC27,cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]
cg03228054,RRAGA,Ras related GTP binding A [Source:HGNC Symbol;Acc:HGNC:16963]
cg03236948,DNAJC4,DnaJ heat shock protein family (Hsp40) member C4 [Source:HGNC Symbol;Acc:HGNC:5271]
cg03267697,GMPPA,GDP-mannose pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:22923]
cg03272326,FAM78B,family with sequence similarity 78 member B [Source:HGNC Symbol;Acc:HGNC:13495]
cg03278643,EVC2,EvC ciliary complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19747]
cg03345668,MOBKL2C,NA
cg03364683,DDX60L,DExD/H-box 60 like [Source:HGNC Symbol;Acc:HGNC:26429]
cg03368643,TRIM26,tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]
cg03401506,KCTD5,potassium channel tetramerization domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21423]
cg03404362,ULK1,unc-51 like autophagy activating kinase 1 [Source:HGNC Symbol;Acc:HGNC:12558]
cg03411765,TSNARE1,t-SNARE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26437]
cg03413475,ABCF2,ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]
cg03433033,ACADM,acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]
cg03447931,BMP6,bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:HGNC:1073]
cg03474133,CCNI,cyclin I [Source:HGNC Symbol;Acc:HGNC:1595]
cg03498383,SLC12A4,solute carrier family 12 member 4 [Source:HGNC Symbol;Acc:HGNC:10913]
cg03530967,ITGAV,integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]
cg03562266,TCF7L1,transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]
cg03573445,INF2,inverted formin, FH2 and WH2 domain containing [Source:HGNC Symbol;Acc:HGNC:23791]
cg03575501,CDKN1A,cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]
cg03609787,CTDSPL2,CTD small phosphatase like 2 [Source:HGNC Symbol;Acc:HGNC:26936]
cg03610073,TLR2,toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]
cg03617406,SMAD2,SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]
