id,gene,description
cg00082497,MARCKSL1,MARCKS like 1 [Source:HGNC Symbol;Acc:HGNC:7142]
cg00091060,ZNF17,zinc finger protein 17 [Source:HGNC Symbol;Acc:HGNC:12958]
cg00101118,RNF11,ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]
cg00170213,RBM16,NA
cg00209066,BRD1,bromodomain containing 1 [Source:HGNC Symbol;Acc:HGNC:1102]
cg00218631,NUCB2,nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044]
cg00248310,PCNP,PEST proteolytic signal containing nuclear protein [Source:HGNC Symbol;Acc:HGNC:30023]
cg00263584,VAPA,VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]
cg00296189,CHRAC1,chromatin accessibility complex 1 [Source:HGNC Symbol;Acc:HGNC:13544]
cg00314771,DCUN1D5,defective in cullin neddylation 1 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28409]
cg00335633,C19orf48,chromosome 19 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29667]
cg00356811,TNFAIP8L1,TNF alpha induced protein 8 like 1 [Source:HGNC Symbol;Acc:HGNC:28279]
cg00366505,ZC3H18,zinc finger CCCH-type containing 18 [Source:HGNC Symbol;Acc:HGNC:25091]
cg00367438,TMUB1,transmembrane and ubiquitin like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21709]
cg00373467,GTF2H4,general transcription factor IIH subunit 4 [Source:HGNC Symbol;Acc:HGNC:4658]
cg00429618,ZNF322B,NA
cg00459232,CD9,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]
cg00477378,RCBTB1,RCC1 and BTB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:18243]
cg00493300,FRG1,FSHD region gene 1 [Source:HGNC Symbol;Acc:HGNC:3954]
cg00495311,LRRC58,leucine rich repeat containing 58 [Source:HGNC Symbol;Acc:HGNC:26968]
cg00501711,PABPC1L,poly(A) binding protein cytoplasmic 1 like [Source:HGNC Symbol;Acc:HGNC:15797]
cg00503704,ZNF302,zinc finger protein 302 [Source:HGNC Symbol;Acc:HGNC:13848]
cg00522328,ABCF1,ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]
cg00552704,PPT2,palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]
cg00559179,NAMPT,nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]
cg00580230,PLK2,polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]
cg00670698,GGCT,gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]
cg00678539,MNS1,meiosis specific nuclear structural 1 [Source:HGNC Symbol;Acc:HGNC:29636]
cg00694371,COPS7A,COP9 signalosome subunit 7A [Source:HGNC Symbol;Acc:HGNC:16758]
cg00743929,RASSF1,Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]
cg00757212,ST8SIA1,ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10869]
cg00776808,BCAP29,B cell receptor associated protein 29 [Source:HGNC Symbol;Acc:HGNC:24131]
cg00831633,ALG10,ALG10, alpha-1,2-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23162]
cg00846300,ZNF543,zinc finger protein 543 [Source:HGNC Symbol;Acc:HGNC:25281]
cg00851333,TRIM8,tripartite motif containing 8 [Source:HGNC Symbol;Acc:HGNC:15579]
cg00880984,IBTK,inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]
cg00884221,IGFBP7,insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]
cg00890378,PHC2,polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]
cg00930707,RNPEP,arginyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:10078]
cg00937510,TMEM161B,transmembrane protein 161B [Source:HGNC Symbol;Acc:HGNC:28483]
cg00939618,KIAA1737,NA
cg00940212,GARS,glycyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:4162]
cg00946479,FOXRED2,FAD dependent oxidoreductase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26264]
cg00967238,HECTD1,HECT domain E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20157]
cg00996051,HSPC159,NA
cg01029627,LRRK1,leucine rich repeat kinase 1 [Source:HGNC Symbol;Acc:HGNC:18608]
cg01032570,SLC39A14,solute carrier family 39 member 14 [Source:HGNC Symbol;Acc:HGNC:20858]
cg01056350,HHAT,hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
cg01064902,SIRT5,sirtuin 5 [Source:HGNC Symbol;Acc:HGNC:14933]
cg01084871,KIAA1530,NA
cg01147995,PLCG1,phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]
cg01173485,POLD3,DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]
cg01195833,NFATC4,nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]
cg01200376,CTHRC1,collagen triple helix repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:18831]
cg01206410,NID1,nidogen 1 [Source:HGNC Symbol;Acc:HGNC:7821]
cg01271376,LEMD3,LEM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28887]
cg01287505,SEPT4,septin 4 [Source:HGNC Symbol;Acc:HGNC:9165]
cg01289020,FTSJD1,NA
cg01297479,FAM108C1,NA
cg01299579,NOL10,nucleolar protein 10 [Source:HGNC Symbol;Acc:HGNC:25862]
cg01314034,GTF2IRD1,GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]
cg01356044,MTSS1L,MTSS1L, I-BAR domain containing [Source:HGNC Symbol;Acc:HGNC:25094]
cg01383753,CLDN23,claudin 23 [Source:HGNC Symbol;Acc:HGNC:17591]
cg01393233,CACHD1,cache domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29314]
cg01394093,SLC39A8,solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862]
cg01409735,HDAC11,histone deacetylase 11 [Source:HGNC Symbol;Acc:HGNC:19086]
cg01457077,TRAF3IP1,TRAF3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17861]
cg01461718,APEH,acylaminoacyl-peptide hydrolase [Source:HGNC Symbol;Acc:HGNC:586]
cg01471232,SIGIRR,single Ig and TIR domain containing [Source:HGNC Symbol;Acc:HGNC:30575]
cg01519094,PKNOX2,PBX/knotted 1 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:16714]
cg01557749,TDRD3,tudor domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20612]
cg01599633,PITPNC1,phosphatidylinositol transfer protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:21045]
cg01687711,CBARA1,NA
cg01732984,SUCLA2,succinate-CoA ligase ADP-forming beta subunit [Source:HGNC Symbol;Acc:HGNC:11448]
cg01733570,DFNA5,NA
cg01777187,HMGN1,high mobility group nucleosome binding domain 1 [Source:HGNC Symbol;Acc:HGNC:4984]
cg01780109,PLCG2,phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]
cg01787884,AP1AR,adaptor related protein complex 1 associated regulatory protein [Source:HGNC Symbol;Acc:HGNC:28808]
cg01800426,MTUS1,microtubule associated scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:29789]
cg01800816,CD2BP2,CD2 cytoplasmic tail binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1656]
cg01806346,MAN2B2,mannosidase alpha class 2B member 2 [Source:HGNC Symbol;Acc:HGNC:29623]
cg01822242,ACOX3,acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]
cg01869219,AP1S3,adaptor related protein complex 1 sigma 3 subunit [Source:HGNC Symbol;Acc:HGNC:18971]
cg01977762,UHRF1,ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]
cg02017109,WDR41,WD repeat domain 41 [Source:HGNC Symbol;Acc:HGNC:25601]
cg02102829,CTBP2,C-terminal binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2495]
cg02152351,SLC35B3,solute carrier family 35 member B3 [Source:HGNC Symbol;Acc:HGNC:21601]
cg02161761,DSCC1,DNA replication and sister chromatid cohesion 1 [Source:HGNC Symbol;Acc:HGNC:24453]
cg02197938,PSMD12,proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]
cg02201774,MYADM,myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]
cg02203380,C7orf41,NA
