id,gene,description
cg00005306,SRCAP,Snf2 related CREBBP activator protein [Source:HGNC Symbol;Acc:HGNC:16974]
cg00030291,ICA1,islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]
cg00031443,PNPLA6,patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]
cg00032852,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]
cg00080123,GRK6,G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545]
cg00091633,FSTL1,follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]
cg00101715,FAM55C,NA
cg00119181,SNCA,synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]
cg00124009,PHLDA3,pleckstrin homology like domain family A member 3 [Source:HGNC Symbol;Acc:HGNC:8934]
cg00128188,IDI1,isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]
cg00159212,SLC35A3,solute carrier family 35 member A3 [Source:HGNC Symbol;Acc:HGNC:11023]
cg00206999,ABHD6,abhydrolase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21398]
cg00207280,TRIB1,tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]
cg00210144,EIF5A,eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]
cg00214294,KLHL5,kelch like family member 5 [Source:HGNC Symbol;Acc:HGNC:6356]
cg00225765,STK32B,serine/threonine kinase 32B [Source:HGNC Symbol;Acc:HGNC:14217]
cg00231918,SH3BP2,SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]
cg00252032,PTK7,protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]
cg00307383,KIRREL,NA
cg00309178,EXO1,exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]
cg00313795,LOC646762,NA
cg00350296,CD248,CD248 molecule [Source:HGNC Symbol;Acc:HGNC:18219]
cg00351537,ZNF358,zinc finger protein 358 [Source:HGNC Symbol;Acc:HGNC:16838]
cg00377849,TMEM188,NA
cg00383081,GLUL,glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]
cg00402172,NFATC3,nuclear factor of activated T cells 3 [Source:HGNC Symbol;Acc:HGNC:7777]
cg00405086,MED23,mediator complex subunit 23 [Source:HGNC Symbol;Acc:HGNC:2372]
cg00421624,SLC27A3,solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]
cg00437399,CASC5,NA
cg00461978,MAN2C1,mannosidase alpha class 2C member 1 [Source:HGNC Symbol;Acc:HGNC:6827]
cg00465359,RNF38,ring finger protein 38 [Source:HGNC Symbol;Acc:HGNC:18052]
cg00465941,PRPF40B,pre-mRNA processing factor 40 homolog B [Source:HGNC Symbol;Acc:HGNC:25031]
cg00474194,SOCS6,suppressor of cytokine signaling 6 [Source:HGNC Symbol;Acc:HGNC:16833]
cg00478851,PPFIBP2,PPFIA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9250]
cg00479101,PSEN2,presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]
cg00481457,LAMA3,laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]
cg00490655,FIGN,fidgetin, microtubule severing factor [Source:HGNC Symbol;Acc:HGNC:13285]
cg00495415,SP1,Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]
cg00505318,UBA3,ubiquitin like modifier activating enzyme 3 [Source:HGNC Symbol;Acc:HGNC:12470]
cg00508334,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:28868]
cg00513208,UPF2,UPF2, regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:17854]
cg00514575,MGAT1,mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]
cg00532474,PSTPIP2,proline-serine-threonine phosphatase interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9581]
cg00535466,ZC3H8,zinc finger CCCH-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30941]
cg00536383,ASAP2,ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]
cg00539564,ARFGAP3,ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]
cg00547444,PDPK1,3-phosphoinositide dependent protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:8816]
cg00565070,PDE4A,phosphodiesterase 4A [Source:HGNC Symbol;Acc:HGNC:8780]
cg00567854,BTG2,BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]
cg00576301,SPG20,NA
cg00581017,FGGY,FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610]
cg00607566,KPNB1,karyopherin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6400]
cg00611535,RAB5B,RAB5B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9784]
cg00622654,DOCK1,dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987]
cg00642615,PAQR5,progestin and adipoQ receptor family member 5 [Source:HGNC Symbol;Acc:HGNC:29645]
cg00651401,TNK2,tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297]
cg00666845,JUP,junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]
cg00757414,TPST1,tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]
cg00770265,SDR39U1,short chain dehydrogenase/reductase family 39U member 1 [Source:HGNC Symbol;Acc:HGNC:20275]
cg00797346,MEIS2,Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]
cg00828305,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]
cg00830526,NUDT19,nudix hydrolase 19 [Source:HGNC Symbol;Acc:HGNC:32036]
cg00841001,CDC25A,cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]
cg00849943,HPSE,heparanase [Source:HGNC Symbol;Acc:HGNC:5164]
