id,gene,description
cg00093643,CASC4,cancer susceptibility 4 [Source:HGNC Symbol;Acc:HGNC:24892]
cg00120948,RERE,arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965]
cg00151919,SLC25A15,solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985]
cg00164898,MAPK11,mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]
cg00312474,ERO1LB,NA
cg00326908,PDE7A,phosphodiesterase 7A [Source:HGNC Symbol;Acc:HGNC:8791]
cg00328972,NADK,NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]
cg00387771,HELLS,helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]
cg00455327,CABLES1,Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:HGNC:25097]
cg00467326,TIMM13,translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]
cg00470794,CHFR,checkpoint with forkhead and ring finger domains [Source:HGNC Symbol;Acc:HGNC:20455]
cg00556514,PLCD1,phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]
cg00563932,PTGDS,prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]
cg00801798,KIAA1432,NA
cg00803804,LPIN2,lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]
cg00903242,CHL1,cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]
cg00969323,DTYMK,deoxythymidylate kinase [Source:HGNC Symbol;Acc:HGNC:3061]
cg01063572,NFIA,nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]
cg01120308,PICALM,phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514]
cg01156768,CTDP1,CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]
cg01414934,SH3BGRL3,SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]
