gene,coef,description
CCDC69,0.0043711317784416,coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]
CPT1C,-0.00140218966830506,carnitine palmitoyltransferase 1C [Source:HGNC Symbol;Acc:HGNC:18540]
CYB5R2,-0.00235781074743094,cytochrome b5 reductase 2 [Source:HGNC Symbol;Acc:HGNC:24376]
CYTH4,0.00212932688504246,cytohesin 4 [Source:HGNC Symbol;Acc:HGNC:9505]
FAAH,-0.000207021317661814,fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]
GSTO2,-0.00347468001475406,glutathione S-transferase omega 2 [Source:HGNC Symbol;Acc:HGNC:23064]
KIAA0495,-0.00506474935188921,NA
NUP210,0.00260406704892808,nucleoporin 210 [Source:HGNC Symbol;Acc:HGNC:30052]
PLBD1,-0.00518350188621285,phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]
PSME1,0.00504111843654373,proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]
SLC16A3,-0.0019979063625311,solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]
ZNF643,-0.00206946952544258,NA
