gene,coef,description
CCDC102A,0.0237566488330839,coiled-coil domain containing 102A [Source:HGNC Symbol;Acc:HGNC:28097]
CCDC69,0.0270210181654565,coiled-coil domain containing 69 [Source:HGNC Symbol;Acc:HGNC:24487]
CFL2,0.022453183559762,cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]
FKBP1B,-0.0138317928255846,FK506 binding protein 1B [Source:HGNC Symbol;Acc:HGNC:3712]
LOC344595,0.0151714165588744,NA
LOC650368,-0.0222141468925419,NA
NACAD,-0.0138621877636742,NAC alpha domain containing [Source:HGNC Symbol;Acc:HGNC:22196]
NPR1,-0.0103867974874755,natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943]
PHYHD1,-0.0077909932911006,phytanoyl-CoA dioxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23396]
PREPL,-0.0333805570560102,prolyl endopeptidase like [Source:HGNC Symbol;Acc:HGNC:30228]
RAB7L1,0.0207737612327318,NA
RNF167,0.0303897879420425,ring finger protein 167 [Source:HGNC Symbol;Acc:HGNC:24544]
STXBP1,0.0157280477071718,syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]
