gene,coef,description
ACTR3B,-0.00981430929014498,ARP3 actin related protein 3 homolog B [Source:HGNC Symbol;Acc:HGNC:17256]
CLEC10A,0.00526845663985596,C-type lectin domain containing 10A [Source:HGNC Symbol;Acc:HGNC:16916]
CYB5R2,-0.00418137457508595,cytochrome b5 reductase 2 [Source:HGNC Symbol;Acc:HGNC:24376]
FLJ37453,-0.00713865278474194,NA
GSTO2,-0.00318016592056766,glutathione S-transferase omega 2 [Source:HGNC Symbol;Acc:HGNC:23064]
LNX2,-0.011092489409647,ligand of numb-protein X 2 [Source:HGNC Symbol;Acc:HGNC:20421]
MAX,0.0147541584894514,MYC associated factor X [Source:HGNC Symbol;Acc:HGNC:6913]
PHYHD1,-0.00288858195992119,phytanoyl-CoA dioxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23396]
PLBD1,-0.00702714633820224,phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]
RASGEF1A,-5.48952579884088e-05,RasGEF domain family member 1A [Source:HGNC Symbol;Acc:HGNC:24246]
SRCRB4D,-0.0064464067836582,NA
