gene,coef,description
ACAA2,-0.010602007468598,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
BAIAP3,-0.0102515952599859,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]
CCDC102A,0.0133713088347715,coiled-coil domain containing 102A [Source:HGNC Symbol;Acc:HGNC:28097]
FKBP1B,-0.00715336723754011,FK506 binding protein 1B [Source:HGNC Symbol;Acc:HGNC:3712]
FLJ35220,0.014811264524513,NA
GRIN2D,-0.00599793765324327,glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]
LOC650368,-0.0133147883988306,NA
METTL10,0.000297307149865844,NA
PHYHIP,-0.0071467579112862,phytanoyl-CoA 2-hydroxylase interacting protein [Source:HGNC Symbol;Acc:HGNC:16865]
RAC2,0.0191305628014705,Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]
SLC35A4,0.0267380885845257,solute carrier family 35 member A4 [Source:HGNC Symbol;Acc:HGNC:20753]
TAF3,-0.000333459741411557,TATA-box binding protein associated factor 3 [Source:HGNC Symbol;Acc:HGNC:17303]
TMCC3,0.00905454751518642,transmembrane and coiled-coil domain family 3 [Source:HGNC Symbol;Acc:HGNC:29199]
