id,gene,description
cg00004996,MTMR7,myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]
cg00184016,ATXN2L,ataxin 2 like [Source:HGNC Symbol;Acc:HGNC:31326]
cg00247471,PPM1H,protein phosphatase, Mg2+/Mn2+ dependent 1H [Source:HGNC Symbol;Acc:HGNC:18583]
cg00252032,PTK7,protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]
cg00252616,PCGF3,polycomb group ring finger 3 [Source:HGNC Symbol;Acc:HGNC:10066]
cg00296158,POU2F1,POU class 2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9212]
cg00328593,ETV1,ETS variant 1 [Source:HGNC Symbol;Acc:HGNC:3490]
cg00348771,MGST3,microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]
cg00377849,TMEM188,NA
cg00465359,RNF38,ring finger protein 38 [Source:HGNC Symbol;Acc:HGNC:18052]
cg00539360,VEGFA,vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]
cg00555933,PRDM1,PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]
cg00583303,FAM134B,NA
cg00626466,GNS,glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]
cg00657508,LOC349114,NA
cg00687686,NDRG4,NDRG family member 4 [Source:HGNC Symbol;Acc:HGNC:14466]
cg00730820,MAP3K6,mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858]
cg00848033,TTC14,tetratricopeptide repeat domain 14 [Source:HGNC Symbol;Acc:HGNC:24697]
cg00919077,MYPOP,Myb related transcription factor, partner of profilin [Source:HGNC Symbol;Acc:HGNC:20178]
cg00994411,PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30483]
cg00995798,TTC27,tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]
cg01066936,TEF,TEF, PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:11722]
cg01126560,C9orf142,NA
cg01195833,NFATC4,nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]
cg01201802,KIAA1462,NA
cg01404873,DLEU2,deleted in lymphocytic leukemia 2 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:13748]
cg01411142,INTS10,integrator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:25548]
cg01441025,NCALD,neurocalcin delta [Source:HGNC Symbol;Acc:HGNC:7655]
cg01504424,CCDC34,coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:HGNC:25079]
cg01518631,NFIB,nuclear factor I B [Source:HGNC Symbol;Acc:HGNC:7785]
cg01653110,VAMP4,vesicle associated membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:12645]
cg01662102,HSPA13,heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375]
cg01885503,IRX3,iroquois homeobox 3 [Source:HGNC Symbol;Acc:HGNC:14360]
cg02006647,EXOC3L2,exocyst complex component 3 like 2 [Source:HGNC Symbol;Acc:HGNC:30162]
cg02027717,FBLN2,fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]
