id,gene,description
cg00003091,SLBP,stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]
cg00016968,RHOC,ras homolog family member C [Source:HGNC Symbol;Acc:HGNC:669]
cg00030291,ICA1,islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]
cg00035249,ARF1,ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]
cg00037388,EML6,echinoderm microtubule associated protein like 6 [Source:HGNC Symbol;Acc:HGNC:35412]
cg00059424,PES1,pescadillo ribosomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8848]
cg00063773,PLS1,plastin 1 [Source:HGNC Symbol;Acc:HGNC:9090]
cg00067471,ATP5D,NA
cg00071887,LOXL1,lysyl oxidase like 1 [Source:HGNC Symbol;Acc:HGNC:6665]
cg00082310,PLD1,phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]
cg00086243,TNFRSF18,TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]
cg00091633,FSTL1,follistatin like 1 [Source:HGNC Symbol;Acc:HGNC:3972]
cg00102166,SLC2A1,solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]
cg00119181,SNCA,synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]
cg00119314,RSAD1,radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25634]
cg00128877,MKNK1,MAP kinase interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]
cg00152768,TMEM115,transmembrane protein 115 [Source:HGNC Symbol;Acc:HGNC:30055]
cg00154455,ZNF517,zinc finger protein 517 [Source:HGNC Symbol;Acc:HGNC:27984]
cg00157359,PELI3,pellino E3 ubiquitin protein ligase family member 3 [Source:HGNC Symbol;Acc:HGNC:30010]
cg00157456,DHODH,dihydroorotate dehydrogenase (quinone) [Source:HGNC Symbol;Acc:HGNC:2867]
cg00157962,FAM102B,family with sequence similarity 102 member B [Source:HGNC Symbol;Acc:HGNC:27637]
cg00161459,FZD6,frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]
cg00161556,ZDHHC13,zinc finger DHHC-type containing 13 [Source:HGNC Symbol;Acc:HGNC:18413]
cg00172597,SUSD4,sushi domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25470]
cg00177496,BDH1,3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]
cg00183647,C3orf67,chromosome 3 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:24763]
cg00186701,TSPYL5,TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]
cg00187671,SLC38A10,solute carrier family 38 member 10 [Source:HGNC Symbol;Acc:HGNC:28237]
cg00203913,HS3ST3A1,heparan sulfate-glucosamine 3-sulfotransferase 3A1 [Source:HGNC Symbol;Acc:HGNC:5196]
cg00209066,BRD1,bromodomain containing 1 [Source:HGNC Symbol;Acc:HGNC:1102]
cg00210144,EIF5A,eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]
cg00217442,TNFRSF10D,TNF receptor superfamily member 10d [Source:HGNC Symbol;Acc:HGNC:11907]
cg00221357,HS6ST1,heparan sulfate 6-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5201]
cg00231644,TUBB2A,tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]
cg00231918,SH3BP2,SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]
cg00235661,SGOL1,NA
cg00237904,H19,H19, imprinted maternally expressed transcript (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:4713]
cg00238318,EXOC6,exocyst complex component 6 [Source:HGNC Symbol;Acc:HGNC:23196]
cg00258873,RPP21,ribonuclease P/MRP subunit p21 [Source:HGNC Symbol;Acc:HGNC:21300]
cg00259887,EBAG9,estrogen receptor binding site associated, antigen, 9 [Source:HGNC Symbol;Acc:HGNC:3123]
cg00261416,DAB2,DAB2, clathrin adaptor protein [Source:HGNC Symbol;Acc:HGNC:2662]
cg00261569,C3orf1,NA
cg00261688,WDR75,WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]
cg00268500,UGP2,UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]
cg00276377,FBXL3,F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]
cg00292435,CKS2,CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]
cg00306721,BSCL2,BSCL2, seipin lipid droplet biogenesis associated [Source:HGNC Symbol;Acc:HGNC:15832]
cg00307254,PLXNA1,plexin A1 [Source:HGNC Symbol;Acc:HGNC:9099]
cg00308159,MN1,MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]
cg00312919,STARD3NL,STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]
cg00313795,LOC646762,NA
cg00313981,TRIM11,tripartite motif containing 11 [Source:HGNC Symbol;Acc:HGNC:16281]
cg00329154,EBF3,early B cell factor 3 [Source:HGNC Symbol;Acc:HGNC:19087]
cg00329472,R3HCC1,R3H domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:27329]
cg00330888,EPAS1,endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]
cg00331616,MPHOSPH8,M-phase phosphoprotein 8 [Source:HGNC Symbol;Acc:HGNC:29810]
cg00341387,C18orf25,chromosome 18 open reading frame 25 [Source:HGNC Symbol;Acc:HGNC:28172]
cg00345314,SGK3,serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]
cg00349895,TRIM2,tripartite motif containing 2 [Source:HGNC Symbol;Acc:HGNC:15974]
cg00351443,NEURL,NA
cg00352043,KDELR3,KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]
cg00356511,ACACA,acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]
cg00373467,GTF2H4,general transcription factor IIH subunit 4 [Source:HGNC Symbol;Acc:HGNC:4658]
cg00374263,YLPM1,YLP motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17798]
cg00391696,NEAT1,nuclear paraspeckle assembly transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:30815]
cg00399390,FNBP4,formin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19752]
cg00399938,ZDHHC8,zinc finger DHHC-type containing 8 [Source:HGNC Symbol;Acc:HGNC:18474]
cg00405699,ST8SIA4,ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]
cg00406338,NPEPL1,aminopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:16244]
cg00410422,HBXIP,NA
cg00411411,FBXW4,F-box and WD repeat domain containing 4 [Source:HGNC Symbol;Acc:HGNC:10847]
cg00416130,GJA4,gap junction protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:4278]
cg00421624,SLC27A3,solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]
cg00429477,ZNF384,zinc finger protein 384 [Source:HGNC Symbol;Acc:HGNC:11955]
cg00433081,MAPK9,mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]
cg00437399,CASC5,NA
cg00437969,TRIM29,tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]
cg00441434,DPYSL2,dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]
cg00442931,OPA1,OPA1, mitochondrial dynamin like GTPase [Source:HGNC Symbol;Acc:HGNC:8140]
cg00447682,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:24190]
cg00454932,METTL13,methyltransferase like 13 [Source:HGNC Symbol;Acc:HGNC:24248]
cg00459232,CD9,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]
cg00461978,MAN2C1,mannosidase alpha class 2C member 1 [Source:HGNC Symbol;Acc:HGNC:6827]
cg00467326,TIMM13,translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]
cg00474696,MRPL44,mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650]
cg00480896,DTX4,deltex E3 ubiquitin ligase 4 [Source:HGNC Symbol;Acc:HGNC:29151]
cg00482898,SNRPG,small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]
cg00483459,ALS2CL,ALS2 C-terminal like [Source:HGNC Symbol;Acc:HGNC:20605]
cg00486708,ZNF32,zinc finger protein 32 [Source:HGNC Symbol;Acc:HGNC:13095]
cg00493300,FRG1,FSHD region gene 1 [Source:HGNC Symbol;Acc:HGNC:3954]
cg00494287,ATXN7L1,ataxin 7 like 1 [Source:HGNC Symbol;Acc:HGNC:22210]
cg00495311,LRRC58,leucine rich repeat containing 58 [Source:HGNC Symbol;Acc:HGNC:26968]
cg00499248,LY6K,lymphocyte antigen 6 family member K [Source:HGNC Symbol;Acc:HGNC:24225]
cg00499475,TBX3,T-box 3 [Source:HGNC Symbol;Acc:HGNC:11602]
cg00500892,NPR1,natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943]
cg00503458,KIAA0907,NA
cg00503704,ZNF302,zinc finger protein 302 [Source:HGNC Symbol;Acc:HGNC:13848]
cg00505393,E2F1,E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]
cg00505979,BATF3,basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]
cg00507354,G3BP2,G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]
cg00509207,TSPAN11,tetraspanin 11 [Source:HGNC Symbol;Acc:HGNC:30795]
cg00510956,KHDRBS1,KH RNA binding domain containing, signal transduction associated 1 [Source:HGNC Symbol;Acc:HGNC:18116]
cg00516067,COL9A3,collagen type IX alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2219]
cg00516870,USP36,ubiquitin specific peptidase 36 [Source:HGNC Symbol;Acc:HGNC:20062]
cg00519002,MT1E,metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397]
cg00520612,RPL24,ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]
cg00521255,HBEGF,heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]
cg00521598,MYCBP,MYC binding protein [Source:HGNC Symbol;Acc:HGNC:7554]
cg00523425,ATP5G1,NA
cg00524967,RFC3,replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]
cg00535466,ZC3H8,zinc finger CCCH-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30941]
cg00542638,C22orf25,NA
cg00545295,CBX7,chromobox 7 [Source:HGNC Symbol;Acc:HGNC:1557]
cg00547777,ICA1L,islet cell autoantigen 1 like [Source:HGNC Symbol;Acc:HGNC:14442]
cg00549463,HES2,hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]
cg00552704,PPT2,palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]
cg00554948,DAZAP2,DAZ associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2684]
cg00559179,NAMPT,nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]
cg00563926,TGFBR3,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
cg00566492,JOSD1,Josephin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28953]
cg00591660,CCNF,cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]
cg00592510,HIC1,HIC ZBTB transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:4909]
cg00594300,ITFG3,NA
cg00610000,VRK2,vaccinia related kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]
cg00620452,GPD1L,glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]
cg00635944,C16orf53,NA
cg00637178,ZNF622,zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]
cg00643333,FAM118A,family with sequence similarity 118 member A [Source:HGNC Symbol;Acc:HGNC:1313]
cg00647262,C6orf35,NA
cg00664023,ALG14,ALG14, UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:28287]
cg00664682,SLC41A1,solute carrier family 41 member 1 [Source:HGNC Symbol;Acc:HGNC:19429]
cg00666746,SYDE1,synapse defective Rho GTPase homolog 1 [Source:HGNC Symbol;Acc:HGNC:25824]
cg00667976,ARL1,ADP ribosylation factor like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:692]
cg00673251,ECHDC3,enoyl-CoA hydratase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23489]
cg00686598,PSMC6,proteasome 26S subunit, ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9553]
cg00707741,FARP2,FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]
cg00712717,MTERFD2,NA
cg00719165,ZNF513,zinc finger protein 513 [Source:HGNC Symbol;Acc:HGNC:26498]
cg00724662,NXF1,nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]
cg00726147,TWISTNB,TWIST neighbor [Source:HGNC Symbol;Acc:HGNC:18027]
cg00731749,ITGA7,integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]
cg00733746,SFRS15,NA
cg00733782,TRIM24,tripartite motif containing 24 [Source:HGNC Symbol;Acc:HGNC:11812]
cg00754232,TECPR1,tectonin beta-propeller repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:22214]
cg00757789,WDTC1,WD and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:29175]
cg00771170,DAPK3,death associated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:2676]
cg00774100,MICB,MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]
cg00787661,NCL,nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]
cg00796821,KCP,kielin/chordin-like protein [Source:HGNC Symbol;Acc:HGNC:17585]
cg00871706,KIAA1549,KIAA1549 [Source:HGNC Symbol;Acc:HGNC:22219]
cg00890840,MYLK,myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]
cg00901652,CTR9,CTR9 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:16850]
cg00909993,PTPN4,protein tyrosine phosphatase, non-receptor type 4 [Source:HGNC Symbol;Acc:HGNC:9656]
cg00944433,PRMT6,protein arginine methyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18241]
cg00950958,TOX2,TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:HGNC:16095]
