id,gene,description
cg00033304,SENP2,SUMO1/sentrin/SMT3 specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:23116]
cg00185839,LRDD,NA
cg00214056,SMAD7,SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]
cg00428492,GTPBP8,GTP binding protein 8 (putative) [Source:HGNC Symbol;Acc:HGNC:25007]
cg00483345,SCAI,suppressor of cancer cell invasion [Source:HGNC Symbol;Acc:HGNC:26709]
cg00487155,LOC100129637,NA
cg00626843,RFX7,regulatory factor X7 [Source:HGNC Symbol;Acc:HGNC:25777]
cg00876127,BBS2,Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:HGNC:967]
cg00985729,IER3,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
cg00993400,ZNF692,zinc finger protein 692 [Source:HGNC Symbol;Acc:HGNC:26049]
cg01049775,ATF4,activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]
cg01087195,RASL11A,RAS like family 11 member A [Source:HGNC Symbol;Acc:HGNC:23802]
cg01092213,UPP1,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]
cg01148741,DUSP2,dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]
cg01184139,TRIM41,tripartite motif containing 41 [Source:HGNC Symbol;Acc:HGNC:19013]
cg01441593,P4HB,prolyl 4-hydroxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8548]
cg01513081,BVES,blood vessel epicardial substance [Source:HGNC Symbol;Acc:HGNC:1152]
cg02024846,CDC14B,cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]
cg02034720,FBXO4,F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]
cg02159586,KIAA1841,KIAA1841 [Source:HGNC Symbol;Acc:HGNC:29387]
cg02291403,FZD10,frizzled class receptor 10 [Source:HGNC Symbol;Acc:HGNC:4039]
cg02305242,FLRT2,fibronectin leucine rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3761]
cg02339298,C21orf59,chromosome 21 open reading frame 59 [Source:HGNC Symbol;Acc:HGNC:1301]
cg02454890,ZNF710,zinc finger protein 710 [Source:HGNC Symbol;Acc:HGNC:25352]
cg02462195,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]
cg02627216,IGFBP4,insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]
cg02659117,KIAA0232,KIAA0232 [Source:HGNC Symbol;Acc:HGNC:28992]
cg02709052,TMEM135,transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]
cg02735446,VASH1,vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]
cg02941852,SRPK2,SRSF protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:11306]
cg02992647,DDX52,DExD-box helicase 52 [Source:HGNC Symbol;Acc:HGNC:20038]
cg03077453,ZNF528,zinc finger protein 528 [Source:HGNC Symbol;Acc:HGNC:29384]
cg03100752,ASNA1,arsA arsenite transporter, ATP-binding, homolog 1 (bacterial) [Source:HGNC Symbol;Acc:HGNC:752]
cg03113683,TMEM50B,transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]
cg03275130,B3GAT3,beta-1,3-glucuronyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:923]
cg03287740,ARMC1,armadillo repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:17684]
cg03352907,POLR2J4,RNA polymerase II subunit J4, pseudogene [Source:HGNC Symbol;Acc:HGNC:28195]
cg03356087,SYNCRIP,synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]
cg03606954,HSD17B12,hydroxysteroid 17-beta dehydrogenase 12 [Source:HGNC Symbol;Acc:HGNC:18646]
cg03611632,CSNK1A1,casein kinase 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2451]
cg03919779,UBB,ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]
cg04086388,KIF18B,kinesin family member 18B [Source:HGNC Symbol;Acc:HGNC:27102]
cg04346572,BFSP1,beaded filament structural protein 1 [Source:HGNC Symbol;Acc:HGNC:1040]
cg04575016,C3orf64,NA
cg04777071,RABAC1,Rab acceptor 1 [Source:HGNC Symbol;Acc:HGNC:9794]
cg04798929,RPL26,ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327]
