id,gene,description
cg00033533,KIAA1539,NA
cg00136947,NELL2,neural EGFL like 2 [Source:HGNC Symbol;Acc:HGNC:7751]
cg00152259,MRM1,mitochondrial rRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26202]
cg00263584,VAPA,VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]
cg00352780,GSS,glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]
cg00508334,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:28868]
cg00530929,DNAJC28,DnaJ heat shock protein family (Hsp40) member C28 [Source:HGNC Symbol;Acc:HGNC:1297]
cg00576639,TMEM57,NA
cg00635674,GRAMD2,NA
cg00718036,SGMS2,sphingomyelin synthase 2 [Source:HGNC Symbol;Acc:HGNC:28395]
cg00754426,RALGAPB,Ral GTPase activating protein non-catalytic beta subunit [Source:HGNC Symbol;Acc:HGNC:29221]
cg00803816,ABCA5,ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]
cg00809888,NAAA,N-acylethanolamine acid amidase [Source:HGNC Symbol;Acc:HGNC:736]
cg00866667,EID2,EP300 interacting inhibitor of differentiation 2 [Source:HGNC Symbol;Acc:HGNC:28292]
cg00889031,PSMB8,proteasome subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]
cg01302019,C3orf58,chromosome 3 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:28490]
cg01369341,ROGDI,rogdi homolog [Source:HGNC Symbol;Acc:HGNC:29478]
cg01433520,SEC13,SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]
cg01442833,UNG,uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]
cg01524359,NASP,nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]
cg01532080,SSBP4,single stranded DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:15676]
cg01869219,AP1S3,adaptor related protein complex 1 sigma 3 subunit [Source:HGNC Symbol;Acc:HGNC:18971]
cg01870962,MAFF,MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]
cg01893681,CCNG1,cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]
cg01962086,TNK2,tyrosine kinase non receptor 2 [Source:HGNC Symbol;Acc:HGNC:19297]
cg01990334,FOXJ3,forkhead box J3 [Source:HGNC Symbol;Acc:HGNC:29178]
cg02201132,HDLBP,high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]
cg02201774,MYADM,myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]
cg02212310,BAT2,NA
cg02233750,MCAT,malonyl-CoA-acyl carrier protein transacylase [Source:HGNC Symbol;Acc:HGNC:29622]
cg02400092,ZBTB44,zinc finger and BTB domain containing 44 [Source:HGNC Symbol;Acc:HGNC:25001]
cg02704907,HIST1H2BK,histone cluster 1 H2B family member k [Source:HGNC Symbol;Acc:HGNC:13954]
cg02731980,VPS37C,VPS37C, ESCRT-I subunit [Source:HGNC Symbol;Acc:HGNC:26097]
cg02792140,FZR1,fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]
cg02891153,LOC100128822,NA
cg02917064,SMARCD3,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]
cg02962318,KIAA1826,NA
cg02986494,MIDN,midnolin [Source:HGNC Symbol;Acc:HGNC:16298]
cg03090351,DOT1L,DOT1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:24948]
cg03171646,HSF2,heat shock transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:5225]
cg03193698,SLC3A2,solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]
cg03208983,MAGOHB,mago homolog B, exon junction complex core component [Source:HGNC Symbol;Acc:HGNC:25504]
cg03320441,KIF26B,kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484]
cg03347985,OTUD6B,OTU domain containing 6B [Source:HGNC Symbol;Acc:HGNC:24281]
cg03448938,PIKFYVE,phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]
cg03452174,RAB34,RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]
cg03647944,CEMP1,cementum protein 1 [Source:HGNC Symbol;Acc:HGNC:32553]
cg03764062,FKBP2,FK506 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3718]
cg03826976,CYB5R2,cytochrome b5 reductase 2 [Source:HGNC Symbol;Acc:HGNC:24376]
cg03860466,PRDX2,peroxiredoxin 2 [Source:HGNC Symbol;Acc:HGNC:9353]
cg03863486,HEBP2,heme binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15716]
cg03896792,CDK17,cyclin dependent kinase 17 [Source:HGNC Symbol;Acc:HGNC:8750]
cg03916787,RPL35,ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]
cg03954991,OSCP1,organic solute carrier partner 1 [Source:HGNC Symbol;Acc:HGNC:29971]
cg03967346,RPL19,ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312]
cg04126427,EIF3A,eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]
cg04146745,ZNF662,zinc finger protein 662 [Source:HGNC Symbol;Acc:HGNC:31930]
cg04152629,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]
cg04184297,SLC16A3,solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]
cg04284140,POLD2,DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]
cg04334324,ZNF530,zinc finger protein 530 [Source:HGNC Symbol;Acc:HGNC:29297]
cg04400047,UBIAD1,UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30791]
cg04547158,ZNF823,zinc finger protein 823 [Source:HGNC Symbol;Acc:HGNC:30936]
cg04552531,PDGFB,platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]
cg04603355,ZNF599,zinc finger protein 599 [Source:HGNC Symbol;Acc:HGNC:26408]
cg04658021,PER1,period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]
cg04669894,TBL2,transducin beta like 2 [Source:HGNC Symbol;Acc:HGNC:11586]
cg04713634,BCAR1,BCAR1, Cas family scaffolding protein [Source:HGNC Symbol;Acc:HGNC:971]
cg04733431,C4orf34,NA
cg04863713,ADAMTSL4,ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706]
cg04918921,CCDC64,NA
cg05062896,PPOX,protoporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:9280]
cg05191729,P4HA1,prolyl 4-hydroxylase subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8546]
cg05303842,SLC26A6,solute carrier family 26 member 6 [Source:HGNC Symbol;Acc:HGNC:14472]
cg05306745,TIMP2,TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]
cg05346878,TACSTD2,tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]
cg05557255,TSSC4,tumor suppressing subtransferable candidate 4 [Source:HGNC Symbol;Acc:HGNC:12386]
cg05629195,ABCF3,ATP binding cassette subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:72]
cg05787952,JMJD8,jumonji domain containing 8 [Source:HGNC Symbol;Acc:HGNC:14148]
cg05820491,MYL9,myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]
cg05962325,ACAT1,acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]
cg05985712,CNOT10,CCR4-NOT transcription complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:23817]
