id,gene,description
cg00001854,DNAJA2,DnaJ heat shock protein family (Hsp40) member A2 [Source:HGNC Symbol;Acc:HGNC:14884]
cg00056624,CTDSPL,CTD small phosphatase like [Source:HGNC Symbol;Acc:HGNC:16890]
cg00082664,SFRP2,secreted frizzled related protein 2 [Source:HGNC Symbol;Acc:HGNC:10777]
cg00089353,PPM1L,protein phosphatase, Mg2+/Mn2+ dependent 1L [Source:HGNC Symbol;Acc:HGNC:16381]
cg00094256,ANAPC4,anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]
cg00103329,ETNK2,ethanolamine kinase 2 [Source:HGNC Symbol;Acc:HGNC:25575]
cg00116463,B9D1,B9 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24123]
cg00128188,IDI1,isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]
cg00131121,POLR2J,RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]
cg00149492,TFAP2E,transcription factor AP-2 epsilon [Source:HGNC Symbol;Acc:HGNC:30774]
cg00156336,FAM176A,NA
cg00160619,B3GALNT1,beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]
cg00170188,FAM171A2,family with sequence similarity 171 member A2 [Source:HGNC Symbol;Acc:HGNC:30480]
cg00171947,C1orf216,chromosome 1 open reading frame 216 [Source:HGNC Symbol;Acc:HGNC:26800]
cg00184203,FAM171B,family with sequence similarity 171 member B [Source:HGNC Symbol;Acc:HGNC:29412]
cg00229423,ST3GAL6,ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]
cg00240178,EEF1A1,eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]
cg00245032,YIPF4,Yip1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:28145]
cg00254079,TES,testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]
cg00295572,TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]
cg00298481,BDNF,brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]
cg00315056,DUSP4,dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]
cg00336946,A2LD1,NA
cg00356723,NAA40,N(alpha)-acetyltransferase 40, NatD catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25845]
cg00405086,MED23,mediator complex subunit 23 [Source:HGNC Symbol;Acc:HGNC:2372]
cg00410521,AZI1,NA
cg00420929,PGPEP1,pyroglutamyl-peptidase I [Source:HGNC Symbol;Acc:HGNC:13568]
cg00422248,CHERP,calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]
cg00433296,SLC39A14,solute carrier family 39 member 14 [Source:HGNC Symbol;Acc:HGNC:20858]
cg00442658,CXADR,CXADR, Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]
cg00451635,EMP2,epithelial membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:3334]
cg00455178,CYP2R1,cytochrome P450 family 2 subfamily R member 1 [Source:HGNC Symbol;Acc:HGNC:20580]
cg00455327,CABLES1,Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:HGNC:25097]
cg00456582,SAMD5,sterile alpha motif domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21180]
cg00461735,C1orf31,NA
cg00466544,C14orf101,NA
cg00472375,ENTPD4,ectonucleoside triphosphate diphosphohydrolase 4 [Source:HGNC Symbol;Acc:HGNC:14573]
cg00504134,P2RY1,purinergic receptor P2Y1 [Source:HGNC Symbol;Acc:HGNC:8539]
cg00533586,C2CD4C,C2 calcium dependent domain containing 4C [Source:HGNC Symbol;Acc:HGNC:29417]
cg00544436,HMGA1,high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]
cg00556514,PLCD1,phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]
cg00563793,PACS1,phosphofurin acidic cluster sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:30032]
cg00566516,TSPAN33,tetraspanin 33 [Source:HGNC Symbol;Acc:HGNC:28743]
cg00573330,ZNF141,zinc finger protein 141 [Source:HGNC Symbol;Acc:HGNC:12926]
cg00595678,ZBTB24,zinc finger and BTB domain containing 24 [Source:HGNC Symbol;Acc:HGNC:21143]
cg00608467,PPARA,peroxisome proliferator activated receptor alpha [Source:HGNC Symbol;Acc:HGNC:9232]
cg00614157,REEP5,receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]
cg00618725,MGMT,O-6-methylguanine-DNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:7059]
cg00622654,DOCK1,dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987]
cg00662002,PPP1R13B,protein phosphatase 1 regulatory subunit 13B [Source:HGNC Symbol;Acc:HGNC:14950]
cg00668034,STX12,syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430]
cg00683961,SORT1,sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]
cg00697033,GFI1,growth factor independent 1 transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:4237]
cg00702126,VWA1,von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]
cg00733005,SIX1,SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]
