id,gene,description
cg00084643,PHAX,phosphorylated adaptor for RNA export [Source:HGNC Symbol;Acc:HGNC:10241]
cg00097619,MST1R,macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]
cg00152175,AMFR,autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]
cg00161345,NAE1,NEDD8 activating enzyme E1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:621]
cg00248310,PCNP,PEST proteolytic signal containing nuclear protein [Source:HGNC Symbol;Acc:HGNC:30023]
cg00258976,ZNF778,zinc finger protein 778 [Source:HGNC Symbol;Acc:HGNC:26479]
cg00270311,CD2BP2,CD2 cytoplasmic tail binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1656]
cg00390775,PRUNE2,prune homolog 2 [Source:HGNC Symbol;Acc:HGNC:25209]
cg00409245,LEMD2,LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21244]
cg00453679,PHLDA1,pleckstrin homology like domain family A member 1 [Source:HGNC Symbol;Acc:HGNC:8933]
cg00470766,PRICKLE1,prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]
cg00494710,PPM1G,protein phosphatase, Mg2+/Mn2+ dependent 1G [Source:HGNC Symbol;Acc:HGNC:9278]
cg00564164,ZNF563,zinc finger protein 563 [Source:HGNC Symbol;Acc:HGNC:30498]
cg00603512,PDCL3,phosducin like 3 [Source:HGNC Symbol;Acc:HGNC:28860]
cg00660163,MEX3A,mex-3 RNA binding family member A [Source:HGNC Symbol;Acc:HGNC:33482]
cg00678158,ABCF1,ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]
cg00704288,ST3GAL3,ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]
cg00742603,DBNDD1,dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]
cg00797346,MEIS2,Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]
cg00946479,FOXRED2,FAD dependent oxidoreductase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26264]
cg00950809,MOBKL2C,NA
cg00997424,PI4K2A,phosphatidylinositol 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:30031]
cg01009697,NTRK2,neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]
