id,gene,description
cg00000029,RBL2,RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]
cg00124905,MMAA,methylmalonic aciduria (cobalamin deficiency) cblA type [Source:HGNC Symbol;Acc:HGNC:18871]
cg00208967,OLFM2,olfactomedin 2 [Source:HGNC Symbol;Acc:HGNC:17189]
cg00563229,XKR8,XK related 8 [Source:HGNC Symbol;Acc:HGNC:25508]
cg00684757,PQLC1,PQ loop repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:26188]
cg00723275,XRCC5,X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]
cg00792740,UBE3A,ubiquitin protein ligase E3A [Source:HGNC Symbol;Acc:HGNC:12496]
cg00829456,FRYL,FRY like transcription coactivator [Source:HGNC Symbol;Acc:HGNC:29127]
cg00851333,TRIM8,tripartite motif containing 8 [Source:HGNC Symbol;Acc:HGNC:15579]
cg00871453,WDR67,NA
cg01002995,FOXJ2,forkhead box J2 [Source:HGNC Symbol;Acc:HGNC:24818]
cg01069965,B4GALT5,beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]
cg01129886,C20orf112,NA
cg01147995,PLCG1,phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]
cg01747518,TRMT61A,tRNA methyltransferase 61A [Source:HGNC Symbol;Acc:HGNC:23790]
cg01866064,SEC23B,Sec23 homolog B, coat complex II component [Source:HGNC Symbol;Acc:HGNC:10702]
cg01868559,STRAP,serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]
cg01883943,PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9376]
cg01893669,MAP4K3,mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]
cg01916632,PDSS2,decaprenyl diphosphate synthase subunit 2 [Source:HGNC Symbol;Acc:HGNC:23041]
cg01919488,ZNF638,zinc finger protein 638 [Source:HGNC Symbol;Acc:HGNC:17894]
cg01924434,C19orf24,chromosome 19 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:26073]
cg02036950,SLC19A1,solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]
cg02170312,TAOK2,TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835]
cg02306493,FARSA,phenylalanyl-tRNA synthetase alpha subunit [Source:HGNC Symbol;Acc:HGNC:3592]
cg02497175,NLK,nemo like kinase [Source:HGNC Symbol;Acc:HGNC:29858]
cg02550949,ETNK1,ethanolamine kinase 1 [Source:HGNC Symbol;Acc:HGNC:24649]
cg02560808,VAC14,Vac14, PIKFYVE complex component [Source:HGNC Symbol;Acc:HGNC:25507]
cg02584432,SPATA24,spermatogenesis associated 24 [Source:HGNC Symbol;Acc:HGNC:27322]
cg02682829,PRPF4B,pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]
cg02775489,TJP2,tight junction protein 2 [Source:HGNC Symbol;Acc:HGNC:11828]
cg03048314,NBL1,neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]
cg03314195,RLTPR,NA
cg03326689,MYO5C,myosin VC [Source:HGNC Symbol;Acc:HGNC:7604]
cg03514381,COQ3,coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]
cg03660010,SLAIN2,SLAIN motif family member 2 [Source:HGNC Symbol;Acc:HGNC:29282]
cg03876622,CSDA,NA
cg03907174,RCN3,reticulocalbin 3 [Source:HGNC Symbol;Acc:HGNC:21145]
cg04116858,TAGLN2,transgelin 2 [Source:HGNC Symbol;Acc:HGNC:11554]
cg04216240,RHOD,ras homolog family member D [Source:HGNC Symbol;Acc:HGNC:670]
cg04336836,HDGFRP3,NA
cg04485516,RBM6,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]
cg04506601,SLC35A3,solute carrier family 35 member A3 [Source:HGNC Symbol;Acc:HGNC:11023]
cg04676627,SLC27A5,solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999]
cg04908186,RPL22L1,ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]
cg05469695,CDC42EP3,CDC42 effector protein 3 [Source:HGNC Symbol;Acc:HGNC:16943]
cg05559398,TMEM45B,transmembrane protein 45B [Source:HGNC Symbol;Acc:HGNC:25194]
cg06090684,UTP20,UTP20, small subunit processome component [Source:HGNC Symbol;Acc:HGNC:17897]
cg06251489,STIM2,stromal interaction molecule 2 [Source:HGNC Symbol;Acc:HGNC:19205]
cg06276088,TMEM181,transmembrane protein 181 [Source:HGNC Symbol;Acc:HGNC:20958]
cg06679538,LRRK1,leucine rich repeat kinase 1 [Source:HGNC Symbol;Acc:HGNC:18608]
cg06891164,C14orf79,NA
cg07158040,HIBCH,3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]
cg07160163,SYK,spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]
cg07242805,MXD4,MAX dimerization protein 4 [Source:HGNC Symbol;Acc:HGNC:13906]
cg07472227,ERF,ETS2 repressor factor [Source:HGNC Symbol;Acc:HGNC:3444]
cg07478210,PQLC3,PQ loop repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:28503]
cg07753967,FRG1B,NA
cg08160643,RRP15,ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]
cg08433538,RALGPS1,Ral GEF with PH domain and SH3 binding motif 1 [Source:HGNC Symbol;Acc:HGNC:16851]
cg08470180,C5orf24,chromosome 5 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:26746]
cg08788819,NRIP1,nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]
cg08857308,NCLN,nicalin [Source:HGNC Symbol;Acc:HGNC:26923]
cg08887961,RHOBTB1,Rho related BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18738]
cg09386139,PHF23,PHD finger protein 23 [Source:HGNC Symbol;Acc:HGNC:28428]
cg09582042,GPR180,G protein-coupled receptor 180 [Source:HGNC Symbol;Acc:HGNC:28899]
cg10287137,P2RY2,purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]
cg10852358,ACBD4,acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337]
cg10968187,MED28,mediator complex subunit 28 [Source:HGNC Symbol;Acc:HGNC:24628]
cg10980296,CCDC126,coiled-coil domain containing 126 [Source:HGNC Symbol;Acc:HGNC:22398]
cg10993409,PROS1,protein S [Source:HGNC Symbol;Acc:HGNC:9456]
cg11374368,BOK,BOK, BCL2 family apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1087]
cg11379337,NR4A2,nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]
cg12091376,RIPK4,receptor interacting serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:496]
cg12201961,CD83,CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]
cg12599016,RORA,RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]
cg13010344,ARL6IP4,ADP ribosylation factor like GTPase 6 interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:18076]
cg13150040,PPP1R15B,protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]
cg13209122,ITPKB,inositol-trisphosphate 3-kinase B [Source:HGNC Symbol;Acc:HGNC:6179]
cg13316934,ITFG2,integrin alpha FG-GAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:30879]
cg14105409,SUSD3,sushi domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28391]
cg14189621,ABCC4,ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55]
cg16376612,PLDN,NA
cg16600297,DPM3,dolichyl-phosphate mannosyltransferase subunit 3 [Source:HGNC Symbol;Acc:HGNC:3007]
cg17150474,NEO1,neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]
cg18564448,KIAA1737,NA
cg19225095,TSG101,tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]
cg19368966,PGD,phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]
cg21411834,KCTD3,potassium channel tetramerization domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21305]
cg22186600,ZNF143,zinc finger protein 143 [Source:HGNC Symbol;Acc:HGNC:12928]
cg22563390,ISOC2,isochorismatase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26278]
cg22706420,KHDRBS3,KH RNA binding domain containing, signal transduction associated 3 [Source:HGNC Symbol;Acc:HGNC:18117]
cg22786506,SIK3,SIK family kinase 3 [Source:HGNC Symbol;Acc:HGNC:29165]
cg24833425,TTF2,transcription termination factor 2 [Source:HGNC Symbol;Acc:HGNC:12398]
cg25917853,CYB5R4,cytochrome b5 reductase 4 [Source:HGNC Symbol;Acc:HGNC:20147]
