id,gene,description
cg00021527,TAF15,TATA-box binding protein associated factor 15 [Source:HGNC Symbol;Acc:HGNC:11547]
cg00143527,MESDC1,NA
cg00236225,LASS5,NA
cg00242976,UBE2C,ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]
cg00290373,CCNB1,cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]
cg00367327,PARVB,parvin beta [Source:HGNC Symbol;Acc:HGNC:14653]
cg00415822,ZNF419,zinc finger protein 419 [Source:HGNC Symbol;Acc:HGNC:20648]
cg00788375,TRAPPC5,trafficking protein particle complex 5 [Source:HGNC Symbol;Acc:HGNC:23067]
cg00846968,NHP2L1,NA
cg00883311,EHBP1,EH domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29144]
cg00883329,BMP4,bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]
cg01056945,RHOQ,ras homolog family member Q [Source:HGNC Symbol;Acc:HGNC:17736]
cg01516580,SYT17,synaptotagmin 17 [Source:HGNC Symbol;Acc:HGNC:24119]
cg01710158,CDC42EP2,CDC42 effector protein 2 [Source:HGNC Symbol;Acc:HGNC:16263]
cg02025407,CRLS1,cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]
cg02488288,SPRY4,sprouty RTK signaling antagonist 4 [Source:HGNC Symbol;Acc:HGNC:15533]
cg02598341,KLF13,Kruppel like factor 13 [Source:HGNC Symbol;Acc:HGNC:13672]
cg02957488,PHF20,PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]
cg03315662,PHKG2,phosphorylase kinase catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:8931]
cg03487115,AKAP9,A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]
cg03631331,C11orf9,NA
cg03845383,CDC5L,cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]
cg04021497,SFRS13A,NA
cg04042828,FAM160A1,family with sequence similarity 160 member A1 [Source:HGNC Symbol;Acc:HGNC:34237]
cg04120645,BLM,Bloom syndrome RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]
cg04264299,SCARA3,scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]
cg04265051,LRP5,LDL receptor related protein 5 [Source:HGNC Symbol;Acc:HGNC:6697]
cg04300115,PRIC285,NA
cg04385631,SFRS2IP,NA
cg04467958,PCM1,pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727]
cg04578520,PCYT1A,phosphate cytidylyltransferase 1, choline, alpha [Source:HGNC Symbol;Acc:HGNC:8754]
cg04738827,C2orf68,chromosome 2 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:34353]
cg04789776,KIAA1967,NA
cg04956806,TCEA2,transcription elongation factor A2 [Source:HGNC Symbol;Acc:HGNC:11614]
cg05098876,PPP1R3G,protein phosphatase 1 regulatory subunit 3G [Source:HGNC Symbol;Acc:HGNC:14945]
cg05257600,TMEM161B,transmembrane protein 161B [Source:HGNC Symbol;Acc:HGNC:28483]
cg05422796,ZFP161,NA
cg05819371,BTG1,BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]
cg06024135,MRPS35,mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]
cg06110816,DUSP5,dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]
cg06419476,POU2F2,POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]
cg06611310,KLRAQ1,NA
cg06931245,FZD3,frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]
cg06947082,PLEKHG6,pleckstrin homology and RhoGEF domain containing G6 [Source:HGNC Symbol;Acc:HGNC:25562]
cg06965122,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4129]
