id,gene,description
cg00002660,SMARCC2,SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol;Acc:HGNC:11105]
cg00005306,SRCAP,Snf2 related CREBBP activator protein [Source:HGNC Symbol;Acc:HGNC:16974]
cg00015121,THTPA,thiamine triphosphatase [Source:HGNC Symbol;Acc:HGNC:18987]
cg00032852,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]
cg00039326,TRAPPC3,trafficking protein particle complex 3 [Source:HGNC Symbol;Acc:HGNC:19942]
cg00039463,CREBBP,CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]
cg00041328,C17orf85,NA
cg00073771,OAT,ornithine aminotransferase [Source:HGNC Symbol;Acc:HGNC:8091]
cg00079785,KIAA0146,NA
cg00082497,MARCKSL1,MARCKS like 1 [Source:HGNC Symbol;Acc:HGNC:7142]
cg00093643,CASC4,cancer susceptibility 4 [Source:HGNC Symbol;Acc:HGNC:24892]
cg00101118,RNF11,ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]
cg00115288,EPS8L2,EPS8 like 2 [Source:HGNC Symbol;Acc:HGNC:21296]
cg00117965,FAM195A,NA
cg00134843,PGS1,phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]
cg00151919,SLC25A15,solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985]
cg00152411,INTS2,integrator complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:29241]
cg00152799,TXNL1,thioredoxin like 1 [Source:HGNC Symbol;Acc:HGNC:12436]
cg00210002,EHMT2,euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]
cg00225765,STK32B,serine/threonine kinase 32B [Source:HGNC Symbol;Acc:HGNC:14217]
cg00247748,C3orf19,NA
cg00251610,EBF1,early B cell factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]
cg00252654,ZNF566,zinc finger protein 566 [Source:HGNC Symbol;Acc:HGNC:25919]
