id,gene,description
cg00022024,CAMSAP1,calmodulin regulated spectrin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:19946]
cg00076538,EGFLAM,EGF like, fibronectin type III and laminin G domains [Source:HGNC Symbol;Acc:HGNC:26810]
cg00152942,CPNE2,copine 2 [Source:HGNC Symbol;Acc:HGNC:2315]
cg00160853,SUZ12,SUZ12 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:17101]
cg00590081,FNDC3A,fibronectin type III domain containing 3A [Source:HGNC Symbol;Acc:HGNC:20296]
cg00734960,SDCCAG1,NA
cg00772863,UBE2MP1,ubiquitin conjugating enzyme E2 M pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32195]
cg00852783,UBXN11,UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600]
cg00979628,MUM1,melanoma associated antigen (mutated) 1 [Source:HGNC Symbol;Acc:HGNC:29641]
cg01041284,ARTN,artemin [Source:HGNC Symbol;Acc:HGNC:727]
cg01089639,JAK3,Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]
cg01387407,EML5,echinoderm microtubule associated protein like 5 [Source:HGNC Symbol;Acc:HGNC:18197]
cg01565690,ZNF510,zinc finger protein 510 [Source:HGNC Symbol;Acc:HGNC:29161]
cg01678833,TSPO,translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]
cg01949902,TNRC6B,trinucleotide repeat containing 6B [Source:HGNC Symbol;Acc:HGNC:29190]
cg01971181,MFSD1,major facilitator superfamily domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25874]
cg01986577,ARNTL2,aryl hydrocarbon receptor nuclear translocator like 2 [Source:HGNC Symbol;Acc:HGNC:18984]
cg02070205,MAP3K8,mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]
cg02081976,SOAT1,sterol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:11177]
cg02197938,PSMD12,proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]
cg02249390,LTB,lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]
cg02274509,C10orf137,NA
