id,gene,description
cg00090338,ZNF507,zinc finger protein 507 [Source:HGNC Symbol;Acc:HGNC:23783]
cg00354179,KIAA1614,KIAA1614 [Source:HGNC Symbol;Acc:HGNC:29327]
cg00821731,WNT10A,Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]
cg00906319,PARD3,par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]
cg01011482,NOTCH2NL,notch 2 N-terminal like [Source:HGNC Symbol;Acc:HGNC:31862]
cg01099875,THBD,thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]
cg01137065,FOXK2,forkhead box K2 [Source:HGNC Symbol;Acc:HGNC:6036]
cg01169772,C5orf51,chromosome 5 open reading frame 51 [Source:HGNC Symbol;Acc:HGNC:27750]
cg01175767,C1orf183,NA
cg01244124,UACA,uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:HGNC Symbol;Acc:HGNC:15947]
cg01360119,LOC728743,NA
cg01422009,MPG,N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]
cg01434783,SPRY1,sprouty RTK signaling antagonist 1 [Source:HGNC Symbol;Acc:HGNC:11269]
cg01912455,SMARCB1,SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:HGNC Symbol;Acc:HGNC:11103]
cg01994290,PLEKHG3,pleckstrin homology and RhoGEF domain containing G3 [Source:HGNC Symbol;Acc:HGNC:20364]
cg02208432,ACER3,alkaline ceramidase 3 [Source:HGNC Symbol;Acc:HGNC:16066]
cg02254461,CSRNP1,cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]
cg02297801,NADK,NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]
cg02549492,RHOBTB3,Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]
cg02585886,GPR176,G protein-coupled receptor 176 [Source:HGNC Symbol;Acc:HGNC:32370]
cg02658693,RBPMS2,RNA binding protein, mRNA processing factor 2 [Source:HGNC Symbol;Acc:HGNC:19098]
cg02975986,RAB4B,RAB4B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9782]
cg03008550,DDN,dendrin [Source:HGNC Symbol;Acc:HGNC:24458]
cg03166482,DCTD,dCMP deaminase [Source:HGNC Symbol;Acc:HGNC:2710]
cg03315687,SERTAD1,SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]
cg03364683,DDX60L,DExD/H-box 60 like [Source:HGNC Symbol;Acc:HGNC:26429]
cg03680032,SESN3,sestrin 3 [Source:HGNC Symbol;Acc:HGNC:23060]
cg03869498,FOXC1,forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]
cg03929741,EFNB2,ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]
cg04107140,ADRA2C,adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]
cg04289131,IVNS1ABP,influenza virus NS1A binding protein [Source:HGNC Symbol;Acc:HGNC:16951]
cg04475037,RILPL1,Rab interacting lysosomal protein like 1 [Source:HGNC Symbol;Acc:HGNC:26814]
cg04518155,C4orf27,NA
cg04622103,ATP8B3,ATPase phospholipid transporting 8B3 [Source:HGNC Symbol;Acc:HGNC:13535]
cg04853925,TRNT1,tRNA nucleotidyl transferase 1 [Source:HGNC Symbol;Acc:HGNC:17341]
cg05944800,INSIG2,insulin induced gene 2 [Source:HGNC Symbol;Acc:HGNC:20452]
cg06162746,CAND1,cullin associated and neddylation dissociated 1 [Source:HGNC Symbol;Acc:HGNC:30688]
cg06504572,TCF7L1,transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]
cg06894687,QSOX1,quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]
cg07197823,INHBB,inhibin beta B subunit [Source:HGNC Symbol;Acc:HGNC:6067]
cg07450214,ANKRD26,ankyrin repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:29186]
cg07755653,STX11,syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429]
cg07909749,ACTR3,ARP3 actin related protein 3 homolog [Source:HGNC Symbol;Acc:HGNC:170]
cg08573295,KCNMB4,potassium calcium-activated channel subfamily M regulatory beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:6289]
cg08721931,MALL,mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]
cg08828193,ZMYND11,zinc finger MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966]
cg09323728,TP53INP1,tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022]
cg09764440,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]
cg09896503,ZKSCAN5,zinc finger with KRAB and SCAN domains 5 [Source:HGNC Symbol;Acc:HGNC:12867]
cg10101263,SNX19,sorting nexin 19 [Source:HGNC Symbol;Acc:HGNC:21532]
cg10256726,FAM177A1,family with sequence similarity 177 member A1 [Source:HGNC Symbol;Acc:HGNC:19829]
cg10860002,ANAPC7,anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]
cg11239111,UXS1,UDP-glucuronate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:17729]
cg13120875,TPK1,thiamin pyrophosphokinase 1 [Source:HGNC Symbol;Acc:HGNC:17358]
cg13149387,LOC100130872,NA
cg13758899,ZFP3,ZFP3 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12861]
cg14095000,SMARCAD1,SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1 [Source:HGNC Symbol;Acc:HGNC:18398]
cg14970096,TMCO1,transmembrane and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:18188]
cg15162869,PISD,phosphatidylserine decarboxylase [Source:HGNC Symbol;Acc:HGNC:8999]
cg15380914,RNF138,ring finger protein 138 [Source:HGNC Symbol;Acc:HGNC:17765]
cg15532149,TMEM5,NA
cg15553911,CNOT3,CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]
cg16321523,ZFAND1,zinc finger AN1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:25858]
cg16639185,LGTN,NA
cg16857825,MAPK14,mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]
cg17108064,CHRNA5,cholinergic receptor nicotinic alpha 5 subunit [Source:HGNC Symbol;Acc:HGNC:1959]
cg17122244,SAPS2,NA
cg18913103,FBXW7,F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]
cg19379175,ARHGAP12,Rho GTPase activating protein 12 [Source:HGNC Symbol;Acc:HGNC:16348]
cg20646120,CABLES2,Cdk5 and Abl enzyme substrate 2 [Source:HGNC Symbol;Acc:HGNC:16143]
cg20785715,ZNF623,zinc finger protein 623 [Source:HGNC Symbol;Acc:HGNC:29084]
cg20948486,PEAR1,platelet endothelial aggregation receptor 1 [Source:HGNC Symbol;Acc:HGNC:33631]
cg21162694,ZNF643,NA
cg21182196,CLMN,calmin [Source:HGNC Symbol;Acc:HGNC:19972]
cg21442626,ATP6V1C1,ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]
cg22008625,SOX7,SRY-box 7 [Source:HGNC Symbol;Acc:HGNC:18196]
cg22531889,PHTF1,putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
cg22836535,C14orf80,NA
cg23210148,ERCC1,ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]
cg23211736,OMA1,OMA1 zinc metallopeptidase [Source:HGNC Symbol;Acc:HGNC:29661]
cg23283614,DHRS7,dehydrogenase/reductase 7 [Source:HGNC Symbol;Acc:HGNC:21524]
cg23635580,ARL4D,ADP ribosylation factor like GTPase 4D [Source:HGNC Symbol;Acc:HGNC:656]
cg23948071,CENPB,centromere protein B [Source:HGNC Symbol;Acc:HGNC:1852]
cg24647403,ARL6,ADP ribosylation factor like GTPase 6 [Source:HGNC Symbol;Acc:HGNC:13210]
cg24750308,NOX4,NADPH oxidase 4 [Source:HGNC Symbol;Acc:HGNC:7891]
cg25169790,KIAA0195,NA
cg26147480,FAM175B,NA
cg26399411,CHCHD2,coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21645]
