id,gene,description
cg00205703,FAM131A,family with sequence similarity 131 member A [Source:HGNC Symbol;Acc:HGNC:28308]
cg00292664,HK1,hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]
cg00551847,METTL5,methyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:25006]
cg00770265,SDR39U1,short chain dehydrogenase/reductase family 39U member 1 [Source:HGNC Symbol;Acc:HGNC:20275]
cg00776266,TCP11L2,t-complex 11 like 2 [Source:HGNC Symbol;Acc:HGNC:28627]
cg00864183,DLX4,distal-less homeobox 4 [Source:HGNC Symbol;Acc:HGNC:2917]
cg00875668,KPNA3,karyopherin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6396]
cg00876501,EIF4E,eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]
cg00893242,SND1,staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]
cg00911318,CLP1,cleavage and polyadenylation factor I subunit 1 [Source:HGNC Symbol;Acc:HGNC:16999]
cg00929565,CREB3L2,cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]
cg00965748,MAFB,MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]
cg00980410,SYNRG,synergin gamma [Source:HGNC Symbol;Acc:HGNC:557]
cg01120391,ANO1,anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]
cg01187562,LRRC32,leucine rich repeat containing 32 [Source:HGNC Symbol;Acc:HGNC:4161]
cg01535726,MSRA,methionine sulfoxide reductase A [Source:HGNC Symbol;Acc:HGNC:7377]
cg01606998,PANX2,pannexin 2 [Source:HGNC Symbol;Acc:HGNC:8600]
cg01868222,KIAA1543,NA
cg01989461,GTF2A1,general transcription factor IIA subunit 1 [Source:HGNC Symbol;Acc:HGNC:4646]
cg02010020,PTPRK,protein tyrosine phosphatase, receptor type K [Source:HGNC Symbol;Acc:HGNC:9674]
cg02363950,CRABP2,cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]
cg02507578,NFE2L2,nuclear factor, erythroid 2 like 2 [Source:HGNC Symbol;Acc:HGNC:7782]
cg02550119,LIG3,DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]
cg03043663,PEX10,peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]
cg03065311,ZNF512B,zinc finger protein 512B [Source:HGNC Symbol;Acc:HGNC:29212]
cg03146154,IPP,intracisternal A particle-promoted polypeptide [Source:HGNC Symbol;Acc:HGNC:6108]
cg03201044,TFAP2C,transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]
cg03209809,CHCHD6,coiled-coil-helix-coiled-coil-helix domain containing 6 [Source:HGNC Symbol;Acc:HGNC:28184]
cg03214087,TMEM120A,transmembrane protein 120A [Source:HGNC Symbol;Acc:HGNC:21697]
cg03309722,INO80B,INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324]
cg03436530,GLCCI1,glucocorticoid induced 1 [Source:HGNC Symbol;Acc:HGNC:18713]
cg03463641,DNMT3A,DNA methyltransferase 3 alpha [Source:HGNC Symbol;Acc:HGNC:2978]
cg03847768,C12orf35,NA
cg04130657,DEDD,death effector domain containing [Source:HGNC Symbol;Acc:HGNC:2755]
cg04238303,C1orf107,NA
cg04306507,LGALS3,galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]
cg04993682,C5orf33,NA
cg05090695,CDKN1C,cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]
cg05140650,MXI1,MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]
cg05202804,C19orf39,NA
cg05460370,LIMD1,LIM domains containing 1 [Source:HGNC Symbol;Acc:HGNC:6612]
cg05504194,ACAT2,acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]
cg05518543,MAEA,macrophage erythroblast attacher [Source:HGNC Symbol;Acc:HGNC:13731]
cg05641351,EFNA1,ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]
cg05750029,BAMBI,BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]
cg05859264,MAPK13,mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]
cg06033387,TCEA3,transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]
cg06200397,MICAL3,microtubule associated monooxygenase, calponin and LIM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24694]
cg06254123,NDE1,nudE neurodevelopment protein 1 [Source:HGNC Symbol;Acc:HGNC:17619]
cg06797280,MAPK6,mitogen-activated protein kinase 6 [Source:HGNC Symbol;Acc:HGNC:6879]
cg07023327,MRPS17,mitochondrial ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:14047]
cg07102072,FLJ10357,NA
cg07846755,HES1,hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]
cg08090396,NEK4,NIMA related kinase 4 [Source:HGNC Symbol;Acc:HGNC:11399]
cg08106792,S100A6,S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]
cg08110500,DCP1B,decapping mRNA 1B [Source:HGNC Symbol;Acc:HGNC:24451]
cg08662074,PAPPA,pappalysin 1 [Source:HGNC Symbol;Acc:HGNC:8602]
cg09017894,SLC44A3,solute carrier family 44 member 3 [Source:HGNC Symbol;Acc:HGNC:28689]
cg09023593,FAM102A,family with sequence similarity 102 member A [Source:HGNC Symbol;Acc:HGNC:31419]
cg09621938,IFT140,intraflagellar transport 140 [Source:HGNC Symbol;Acc:HGNC:29077]
cg10359929,IRS1,insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]
cg10400707,VANGL2,VANGL planar cell polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:15511]
cg11051031,IQGAP2,IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]
cg11108432,PINX1,PIN2/TERF1 interacting telomerase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30046]
cg11197905,ZNF518B,zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365]
cg11285843,TMEM41A,transmembrane protein 41A [Source:HGNC Symbol;Acc:HGNC:30544]
cg11335411,ZNF274,zinc finger protein 274 [Source:HGNC Symbol;Acc:HGNC:13068]
cg12416033,SDHAF1,succinate dehydrogenase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:33867]
cg12550574,SPCS3,signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]
cg12875426,DYM,dymeclin [Source:HGNC Symbol;Acc:HGNC:21317]
cg12997404,C2CD2L,C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]
cg13119284,FBXO7,F-box protein 7 [Source:HGNC Symbol;Acc:HGNC:13586]
cg13442749,PHF2,PHD finger protein 2 [Source:HGNC Symbol;Acc:HGNC:8920]
cg14222797,RSU1,Ras suppressor protein 1 [Source:HGNC Symbol;Acc:HGNC:10464]
cg14481222,BIRC3,baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]
cg15044573,FAM53B,family with sequence similarity 53 member B [Source:HGNC Symbol;Acc:HGNC:28968]
cg15435718,ETV2,ETS variant 2 [Source:HGNC Symbol;Acc:HGNC:3491]
cg15925179,UBXN7,UBX domain protein 7 [Source:HGNC Symbol;Acc:HGNC:29119]
cg15978832,UAP1,UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12457]
cg16185666,WDFY2,WD repeat and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20482]
cg16251576,LOC338758,NA
cg19633808,C20orf24,chromosome 20 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:15870]
cg20994801,PIK3CD,phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]
cg21548950,RHCG,Rh family C glycoprotein [Source:HGNC Symbol;Acc:HGNC:18140]
cg22793988,OSBPL8,oxysterol binding protein like 8 [Source:HGNC Symbol;Acc:HGNC:16396]
cg23112188,PCK2,phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]
cg23404101,TMEM88,transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]
cg23480821,IQGAP1,IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]
cg23711139,CLK2P,NA
cg26229968,DMXL2,Dmx like 2 [Source:HGNC Symbol;Acc:HGNC:2938]
